"","from","to","strength"
"1","polKnowMiliband","polKnowClegg",-4213.75432063351
"2","prevJob","selfOccStatusLast",-6393.00766487427
"3","polKnowMiliband","polKnowMay",-433.388321839772
"4","socialDesScale","socialDes_2",-2792.60130560616
"5","socialDesScale","socialDes_4",-1939.56868371883
"6","socialDesScale","socialDes_3",-3821.26655958079
"7","tolUncertain1","tolUncertain3",-2465.88289618543
"8","tolUncertain3","tolUncertain2",-673.712588677824
"9","socialDesScale","socialDes_1",-1133.66105728331
"10","polKnowMay","polKnowBercow",-312.940185129492
"11","econPersonalRetro","econGenRetro",-2890.82524611607
"12","workingStatus","selfOccStatus",-721.770017447935
"13","likeFarage","likeUKIP",-1997.65664639835
"14","workingStatus","prevJob",-3111.00744360695
"15","tolUncertain2","locus2",-272.671736686424
"16","polKnowMiliband","polKnowOsborne",-97.9900746101528
"17","tolUncertain3","locus1",-85.4420647341876
"18","euRefTurnout","euRefCertainty",-2237.13532205769
"19","socialDes_dk","polKnowMiliband",-884.919370461743
"20","profile_gross_household","profile_gross_personal",-1695.67744135388
"21","likeCameron","likeCon",-2057.78081911408
"22","locus2","parentsForeign",-201.553838275381
"23","country","gor",-813.47439888977
"24","parentsForeign","livedAbroad",-122.918353861101
"25","Age","profile_turnout_2015",-1794.34837646518
"26","socialDes_3","socialDes_none",-272.276275775796
"27","franceFairShare","germanyFairShare",-1941.03060416584
"28","certaintyEUCon","certaintyEULab",-1647.5375023133
"29","infoSourcePaper","euSources_2",-1984.89385456067
"30","socialDes_3","socialDes_dk",-472.080815468689
"31","locus2","friendsEU",-62.457859339585
"32","certaintyUKLeave","certaintyUKRemain",-1629.89157783958
"33","infoSourceRadio","euSources_3",-1963.2240862828
"34","immigEcon","immigCultural",-570.257126263958
"35","euMore","noneuMore",-454.164309000033
"36","al2","al_scale",-1065.15476840128
"37","likeCameron","likeOsborne",-404.863916755967
"38","privateSecondarySchool","neverPrivateSchool",-2279.77155095673
"39","livedAbroad","languageSkills",-96.228859095695
"40","al_scale","al1",-986.751379046834
"41","immigLab","immigLD",-730.629156060317
"42","asylumMore","immigSelf",-221.683596897989
"43","certaintyEULab","certaintyEULD",-400.791540971327
"44","schoolChildrenInHousehold","noDependentsInHousehold",-2427.09963443831
"45","sickOrElderlyInHousehold","noDependentsInHousehold",-3308.57497014949
"46","preschoolChildrenInHousehold","noDependentsInHousehold",-1601.73314663338
"47","profile_household_children","schoolChildrenInHousehold",-1423.62611747499
"48","asylumMore","familiesMore",-1091.4279653544
"49","al_scale","al5",-604.220263993456
"50","familiesMore","euMore",-484.079267350256
"51","UKsovereignty","euUndermineIdentity",-271.811274497009
"52","profile_turnout_2015","profile_education_age",-266.961996081774
"53","likeCorbyn","likeLab",-846.711458933043
"54","polKnowMiliband","ns_sec_analytic",-1412.41717104003
"55","familiesMore","studentsMore",-216.608401178535
"56","profile_turnout_2015","subjClass",-195.857045318361
"57","locus2","partyMember",-25.1908653969413
"58","infoSourceInternet","euSources_4",-1110.0085617459
"59","profile_turnout_2015","tolUncertain1",-205.001220809604
"60","euUndermineIdentity","euParlOverRide",-93.734773870855
"61","certaintyEULD","certaintyEUGreen",-351.392907942327
"62","profile_turnout_2015","country",-135.362713532717
"63","al_scale","al3",-301.498845596934
"64","socialDes_dk","Age",-189.75862326031
"65","immigSelf","immigEcon",-148.616460752814
"66","pccTurnout","pccVote1",-1284.78510321607
"67","profile_turnout_2015","profile_household_size",-78.9841597562336
"68","satDemUK","satDemEng",-1679.29784541192
"69","EUMIICategory","euMIISmall",-805.652680807774
"70","country","satDemEng",-1023.58655437369
"71","likeFarage","likeBoris",-361.906170871855
"72","immigLD","immigGreen",-357.365469800336
"73","infoSourceTV","euSources_1",-1062.66889311587
"74","lr4","lr_scale",-183.734950017113
"75","euLawsLevel","echr",-237.998826396112
"76","polAttention","efficacyUnderstand",-611.296542832684
"77","EUIntegrationSelf","euRefVote",-151.893188941568
"78","polKnowMiliband","countryOfBirth",-22.7438248748331
"79","immigCon","immigLab",-1168.50385656623
"80","franceFairShare","britainFairShare",-264.698104685264
"81","effectsEUWorkers","effectsEUNHS",-176.212450450477
"82","lr3","lr4",-297.440137110749
"83","effectsEUWorkers","effectsEUEcon",-293.172603225858
"84","certaintyEULab","certaintyEUUKIP",-116.679517101882
"85","UKsovereignty","euRedTape",-144.453861634249
"86","certaintyEUUKIP","EUIntegrationUKIP",-557.186531191752
"87","EUIntegrationLab","EUIntegrationLD",-558.025058803139
"88","blackEquality","gayEquality",-661.254757502305
"89","leaveImpactSelf","leaveImpactBritain",-525.261266917779
"90","effectsEUTrade","euLeaveVoice",-158.226881828854
"91","efficacyUnderstand","efficacyEU",-386.775164531161
"92","euPreventWar","euUKRich",-194.928922895924
"93","euUKRich","euCloser",-77.3995412157601
"94","al_scale","al4",-544.468931528215
"95","effectsEUEcon","effectsEUTrade",-142.906835549658
"96","EUIntegrationSelf","europeanness",-96.8421480852467
"97","euUndermineIdentity","euLawsLevel",-27.4264846200113
"98","parliamentSupport","cabinetSupport",-294.501731742967
"99","lr2","lr5",-300.687278813071
"100","infoSourcePeople","euSources_5",-849.032083959572
"101","euUndermineIdentity","likeFarage",-16.95716500259
"102","immigrantsWelfareState","UKsovereignty",-157.63635930882
"103","locus2","econPersonalRetro",-53.8844974803333
"104","RPrivSchnew_dk","neverPrivateSchool",-774.745870687954
"105","personality_agreeableness","personality_conscientiousness",-449.608815110991
"106","likeBennett","likeGrn",-514.277072804143
"107","euUndermineIdentity","effectsEUWorkers",-24.6846322194624
"108","likeBoris","likeGove",-109.861274618053
"109","UKsovereignty","euMemberJoin",-64.2881443300212
"110","euSources_5","discussPolDays",-175.173028067818
"111","lr1","lr3",-665.345449261087
"112","EUIntegrationCon","EUIntegrationLab",-649.447620191948
"113","leaveTone","proConLeave",-220.470219429579
"114","profile_household_children","profile_household_size",-437.395397877556
"115","postalapply","euRefTurnout",-717.178646448925
"116","EUIntegrationLD","EUIntegrationGreen",-261.066600764028
"117","immigrantsWelfareState","immigContributeTake",-69.6464693297057
"118","education","profile_education_age",-304.578941985226
"119","euLawsLevel","euPreventWar",-93.5964093850507
"120","gayEquality","femaleEquality",-206.418363643552
"121","euUKRich","euLeaveBigBusiness",-60.1961866585252
"122","immigGreen","grnUnited",-234.049552233255
"123","likeGrn","likeCorbyn",-172.489645062946
"124","profile_education_age","profile_gross_household",-49.6997087675154
"125","likeUKIP","LDUKIP2015",-333.655066981678
"126","neverPrivateSchool","privatePrimarySchool",-508.488584805729
"127","socialDes_none","socialDes_4",-830.436150863315
"128","infoSourceInternet","infoSourcePeople",-584.930642638516
"129","ldSupport","parliamentSupport",-260.375411352094
"130","grnUnited","ldUnited",-328.889916929452
"131","effectsEUEcon","effectsEUFinance",-123.751874723313
"132","socialDes_none","socialDes_2",-1777.16196515583
"133","changeNHS","changeEducation",-315.02204122091
