"","from","to","strength"
"1","likeLab","ptvLab",-13224.5119310384
"2","likeCorbyn","likeLab",-12797.8950640017
"3","likeCon","ptvCon",-12494.5648693093
"4","likeCon","likeMay",-12404.4625394344
"5","partyContactGrn","partyContactLD",-11719.0236082012
"6","partyContactGrn","partyContactLab",-11497.799155032
"7","partyContact1","partyContactGrn",-11262.9101810532
"8","likeUKIP","ptvUKIP",-10200.5026807537
"9","EUIntegrationSelf","euRefVote",-7871.54768867552
"10","likeLab","likeCon",-7764.02062489997
"11","likeLab","partyId",-2595.91882351008
"12","ptvLab","voting_path",-6464.3930502395
"13","likeLab","bestOnMII",-6115.97695545926
"14","EUIntegrationSelf","effectsEUEcon",-5640.59915516664
"15","age","profile_work_stat",-7820.37504520268
"16","EUIntegrationSelf","likeUKIP",-4864.38921277682
"17","competentFarron","likeRudd",-4837.33167916796
"18","partyId","partyIdStrength",-3541.24110937717
"19","ptvLab","ptvLD",-3763.73214630374
"20","partyIdStrength","pidCommonParty",-3288.49629330958
"21","ptvLD","ptvGrn",-4195.22213551918
"22","ptvCon","redistSelf",-3802.28214001622
"23","bestOnMII","EUIntegrationSelf",-3410.79791177055
"24","redistSelf","redistLD",-3477.37569880944
"25","housing","personality_neuroticism",-3118.11285070492
"26","effectsEUEcon","euLeaveScotIndep",-2278.61702841269
"27","redistLD","ldUnited",-1864.43461183008
"28","likeCon","EUIntegrationCon",-2143.28458328618
"29","profile_work_stat","housing",-1693.18047314396
"30","partyId","reasonForVote",-1742.01541069082
"31","ptvLD","competentFarron",-1658.9192926142
"32","likeCorbyn","participation_5",-547.09604528158
"33","redistSelf","prefTradeoff",-947.286038950166
"34","euRefVote","education",-827.416275868694
"35","voting_path","reasonForVote",-1120.97935368743
"36","participation_5","partyContact1",-349.470006234564
"37","EUIntegrationCon","infoSourcePaper",-697.371264291342
"38","likeLab","partyIdStrength",-1688.39208625864
"39","partyContact1","changeView",-410.933776622582
"40","reasonForVote","regretsIHaveAFew",-412.142682917942
"41","voting_path","partyContactLab",-403.796998354278
"42","voting_path","partyId",-1449.4340552074
"43","regretsIHaveAFew","voteMethoda",-154.557866898896
"44","effectsEUEcon","partyContact1",-317.547537356311
"45","profile_work_stat","likeCorbyn",-515.179980562927
"46","reasonForVote","changeView",-278.92067878275
"47","euRefVote","ptvLD",-1354.6237906635
"48","participation_5","pidCommonParty",-211.322944200776
"49","changeView","regretsIHaveAFew",-169.790986309192
"50","partyIdStrength","participation_5",-387.0600043177
"51","participation_5","voteMethoda",-129.596736263989
