"","from","to","strength"
"1","prevJob","selfOccStatusLast",-5897.88649348751
"2","polKnowMiliband","polKnowClegg",-6025.56178136733
"3","polKnowMiliband","polKnowMay",-609.29930467832
"4","econPersonalRetro","econGenRetro",-5290.691417313
"5","socialDesScale","socialDes_2",-3491.64934679015
"6","polKnowMay","polKnowBercow",-569.924676947398
"7","socialDesScale","socialDes_4",-2614.21698977981
"8","socialDesScale","socialDes_3",-4441.09838144871
"9","satDemUK","satDemEng",-4429.08439292215
"10","socialDesScale","socialDes_1",-1523.38310731775
"11","likeCameron","likeCon",-3302.31324647429
"12","euRefTurnout","euRefCertainty",-3715.99557620988
"13","workingStatus","selfOccStatus",-1637.42704268256
"14","polKnowClegg","polKnowOsborne",-149.140166157802
"15","franceFairShare","germanyFairShare",-1302.78145806307
"16","workingStatus","prevJob",-2641.35912363629
"17","likeFarage","likeUKIP",-2214.8535646278
"18","likeCameron","likeOsborne",-504.026802778879
"19","certaintyEUCon","certaintyEULab",-1608.85972436927
"20","infoSourceRadio","euSources_3",-2588.70802895147
"21","tolUncertain1","tolUncertain3",-942.252519534901
"22","euMore","noneuMore",-903.389252205956
"23","infoSourcePaper","euSources_2",-2429.68044738056
"24","profile_gross_household","profile_gross_personal",-2279.60108923866
"25","socialDes_dk","polKnowMiliband",-509.086020777226
"26","socialDes_3","socialDes_none",-828.314455281376
"27","certaintyUKLeave","certaintyUKRemain",-1720.3154530942
"28","likeCorbyn","likeLab",-1160.56704425095
"29","franceFairShare","britainFairShare",-1963.62003947303
"30","immigEcon","immigCultural",-979.624110238745
"31","al1","al_scale",-1373.04511755401
"32","schoolChildrenInHousehold","noDependentsInHousehold",-3411.03703948124
"33","sickOrElderlyInHousehold","noDependentsInHousehold",-3769.6544112185
"34","preschoolChildrenInHousehold","noDependentsInHousehold",-2041.73218631697
"35","al_scale","al2",-1339.75056029598
"36","al_scale","al5",-635.139978193278
"37","socialDes_3","socialDes_dk",-140.165295768138
"38","asylumMore","immigSelf",-1066.87918174569
"39","asylumMore","familiesMore",-612.522081505973
"40","certaintyEULD","certaintyEUGreen",-600.986963725752
"41","euMore","studentsMore",-195.296095567508
"42","personality_agreeableness","personality_conscientiousness",-1452.77896277542
"43","immigLab","immigLD",-877.155365548257
"44","familiesMore","euMore",-431.721966311496
"45","certaintyEULab","certaintyEULD",-400.329533106436
"46","tolUncertain2","locus2",-393.139857650218
"47","lr3","lr4",-871.326806467044
"48","polKnowMiliband","ns_sec_analytic",-64.1709549974639
"49","al_scale","al3",-439.032315427276
"50","immigLD","immigGreen",-380.870439880124
"51","infoSourceInternet","euSources_4",-1453.65250427399
"52","lr4","lr_scale",-396.257626531667
"53","profile_household_children","schoolChildrenInHousehold",-1331.61253255651
"54","infoSourceTV","euSources_1",-1066.28556229322
"55","privateSecondarySchool","neverPrivateSchool",-2871.04605290721
"56","RPrivSchnew_dk","neverPrivateSchool",-3418.48187561165
"57","pccTurnout","pccVote1",-1531.99827002007
"58","EUIntegrationUKIP","certaintyEUUKIP",-1132.16915442426
"59","tolUncertain3","locus1",-129.083262373561
"60","lr4","lr2",-187.742707984587
