States,Q1,Q2,Q3,Q4,Q5
Australia,43,30,13,10,4
Austria,16,19,21,21,23
Belgium,25,23,19,14,19
Canada,28,24,20,17,11
Chile,16,17,17,18,32
Czech Republic,23,26,20,18,13
Denmark,34,31,17,11,7
Estonia,21,23,21,19,16
Finland,42,23,16,11,8
France,21,19,18,19,24
Germany,29,22,19,16,14
Greece,6,15,21,25,34
Hungary,17,23,23,19,18
Iceland,24,19,18,14,25
Ireland,24,24,18,16,18
Israel,22,22,19,18,19
Italy,8,14,18,21,38
Japan,17,23,21,19,19
Korea,22,18,19,20,21
Latvia,16,18,20,20,25
Luxembourg,13,17,21,23,25
Mexico,26,22,21,15,16
Netherlands,35,22,15,12,10
New Zealand,45,21,12,12,9
Norway,25,23,19,17,16
Poland,15,19,22,23,21
Portugal,10,14,16,19,41
Slovak Republic,20,20,20,20,20
Slovenia,21,22,20,19,18
Spain,11,17,19,21,32
Sweden,32,22,18,15,13
Switzerland,28,27,18,14,13
Turkey,16,19,21,22,21
United Kingdom,34,32,19,9,6
United States,22,19,17,19,23
OECD,23,21,19,17,19
