"","from","to","strength"
"1","education","edlevel",-34988.1084510178
"2","competentCorbyn","integrityCorbyn",-16729.3328633872
"3","ptvLab","likeLab",-15309.2846063829
"4","likeLab","likeCorbyn",-15154.2400411362
"5","likeSturgeon","likeSNP",-12464.0231882178
"6","personality_conscientiousness","personality_neuroticism",-11435.4822142259
"7","personality_openness","personality_extraversion",-11153.0131797691
"8","personality_conscientiousness","personality_agreeableness",-11084.4082365903
"9","personality_neuroticism","personality_openness",-10593.3066870636
"10","natSecurityGrn","natSecurityLab",-9654.96829592158
"11","partyId","profile_past_vote_2015",-8985.44904802969
"12","competentCorbyn","competentLucas",-9244.62375696126
"13","lr1","lr3",-8300.2634441419
"14","profile_past_vote_2015","generalElectionVote",-2529.8199904654
"15","likeLab","partyId",-8136.06889547311
"16","lr3","lr4",-3022.67511495193
"17","generalElectionVote","bestOnMII",-7239.5933100356
"18","lr3","lr2",-2094.41136472911
"19","lr2","lr5",-2827.97534929742
"20","likeFarron","likeLucas",-7209.54058441211
"21","al1","al3",-2653.96798385585
"22","likeCorbyn","competentCorbyn",-6408.48147373247
"23","likeCorbyn","likeSturgeon",-6264.27485960806
"24","profile_past_vote_2015","profile_turnout_2015",-4267.12771209867
"25","competentCorbyn","likeRudd",-5995.34240073133
"26","generalElectionVote","genElecTurnoutRetro",-5000.32031716646
"27","likeSturgeon","likeFarron",-5513.07628480718
"28","personality_neuroticism","countryOfBirth",-4069.49895041923
"29","likeCorbyn","labUnited",-3494.57492989412
"30","al3","al4",-1506.58116697843
"31","likeLab","lr1",-3666.39160198576
"32","likeLucas","natSecurityGrn",-2692.17300712275
"33","al1","ptvLab",-2042.68333682293
"34","natSecurityLab","negotiationSpecifics_2",-1186.23075813721
"35","lr4","prefTradeoff",-1165.18538387091
"36","al2","education",-1402.19713744331
"37","al5","al3",-1612.67025836279
"38","al2","al1",-4601.149010624
"39","partyId","generalElectionVote",-2491.92620726927
"40","al4","profile_religion",-991.344841860991
"41","negotiationSpecifics_2","changeView",-373.756907033752
"42","lr4","lr5",-1121.77965937234
"43","al5","al4",-992.11002930281
"44","negotiationSpecifics_2","labUnited",-809.112210384923
"45","negotiationSpecifics_2","bestOnMII",-814.712953215265
"46","prefTradeoff","changeView",-329.457607882161
"47","negotiationSpecifics_2","prefTradeoff",-427.518603854551
"48","profile_turnout_2015","personality_conscientiousness",-219.93181180906
"49","al2","negotiationSpecifics_2",-694.636825176731
"50","genElecTurnoutRetro","profile_turnout_2015",-202.087897484804
"51","al2","al5",-2407.04413241183
"52","al1","al5",-2466.04594251025
"53","lr4","lr2",-2039.49711381751
"54","lr1","lr4",-1065.06002178979
