"","from","to","strength"
"1","partyContactOtherParty","partyContactNone",-22705.3644574603
"2","partyContactLab_2","partyContactLab_7",-31994.3008834441
"3","partyContactNone","partyContactDK",-7515.68010236629
"4","partyContactLab_7","partyContactLab_1",-2625.69003730025
"5","partyContactNone","pContactEday_99",-4431.25061168211
"6","partyContactLab_7","partyContactLab_4",-2935.88565972849
"7","partyContactNone","partyContactLab",-10680.5509761494
"8","partyContactLab_7","partyContactLab",-4973.85515808524
"9","partyContactDK","partyContact1",-4601.32864854279
"10","partyContactNone","partyContactCon",-998.974173269662
"11","country","gor",-32202.6614835451
"12","partyContactLab_7","partyContactLab_6",-871.701686001834
"13","partyContactNone","partyContactUKIP",-449.296486688329
"14","partyContactNone","partyContactGrn",-766.877411749509
"15","partyContactLab_6","partyContactLab_5",-1699.50472805541
"16","partyContactLab_7","partyContactLab_3",-4007.94613003413
"17","competentCorbyn","integrityCorbyn",-13017.6231967347
"18","partyContactNone","partyContactLD",-200.909124553487
"19","integrityMay","competentMay",-9140.58372267956
"20","marital","profile_marital_stat",-26048.7021012052
"21","likeCon","ptvCon",-8876.28663495506
"22","personality_agreeableness","personality_conscientiousness",-4055.04174497524
"23","negotiationSpecifics_2","negotiationSpecifics_3",-16253.8158247328
"24","likeMay","likeCon",-8789.92239200356
"25","ptvLab","likeLab",-9764.78267543268
"26","likeLab","likeCorbyn",-3784.81781156042
"27","negotiationSpecifics_3","negotiationSpecifics_1",-3293.18011399749
"28","likeUKIP","ptvUKIP",-11121.5434992373
"29","partyId","profile_past_vote_2015",-16380.831809503
"30","likeRudd","likeDavis",-13981.1516759418
"31","education","anyUni",-10723.6355806732
"32","profile_past_vote_2015","generalElectionVote",-4943.37171135968
"33","profile_work_stat","age",-12745.0574783708
"34","voteMethoda","regretsIHaveAFew",-15064.7648660925
"35","likeSturgeon","likeSNP",-7073.7878076089
"36","immigCultural","immigEcon",-6227.90158317808
"37","partyContactNone","partyContactLab_2",-123.712664030038
"38","noneuMore","euMore",-5554.08191348803
"39","personality_openness","personality_extraversion",-2822.55738143407
"40","likeGrn","ptvGrn",-6242.19291519856
"41","likeLD","ptvLD",-6680.50869207839
"42","regretsIHaveAFew","genElecTurnoutRetro",-8916.23655865805
"43","generalElectionVote","bestOnMII",-4482.55764466907
"44","pidPraiseGood","pidConnected",-2389.1990548499
"45","competentFarron","competentLucas",-3679.91082149965
"46","pidWeThey","pidMyParty",-4604.94442945579
"47","natSecurityLab","natSecurityLD",-7658.78699508608
"48","countryOfBirth","housing",-12175.3712341045
"49","al2","al_scale",-8595.60248262463
"50","partyId","ptvLab",-7935.05535606961
"51","euMore","studentsMore",-1366.7813168792
"52","al_scale","al1",-4005.18262455399
"53","personality_conscientiousness","disability",-1091.36991643596
"54","country","satDemEng",-21434.3355238087
"55","satDemUK","satDemEng",-15261.3119698895
"56","likeDavis","likeBoris",-1784.74095614241
"57","generalElectionVote","likeMay",-6294.87073720001
"58","country","countryOfBirth",-10837.3657715651
"59","natSecurityLD","natSecurityGrn",-3430.6520588889
"60","competentMay","competentFarage",-739.257425298565
"61","asylumMore","familiesMore",-4860.82747591032
"62","competentFarron","competentCorbyn",-3785.44629294895
"63","pidPraiseGood","pidCriticiseParty",-1056.01247792352
"64","polAttention","electionInterest",-4720.0426665866
"65","euRefTurnoutRetro","profile_eurefturnout",-5736.89867622312
"66","pidCriticiseParty","pidRuinDay",-789.094323658941
"67","al_scale","al5",-3698.65930000367
"68","education","profile_education_age",-9378.19876386051
"69","lr4","lr3",-1073.91600794432
"70","effectsEUTrade","euLeaveVoice",-3565.75043861887
"71","euLeaveVoice","effectsEUEcon",-1557.86338811622
"72","negotiationSpecifics_2","negotiationSpecifics_none",-933.461260293763
"73","effectsEUEcon","effectsEUWorkers",-2055.21974577412
"74","euID4","euID6",-2214.89340882961
"75","effectsEUWorkers","effectsEUNHS",-1617.90417846738
"76","familiesMore","noneuMore",-2161.2112358984
"77","euRefVote","profile_eurefvote",-2010.5204694008
"78","EUIntegrationSelf","euPriorityBalance",-1645.72260320489
"79","likeFarron","likeLD",-3667.43570175765
"80","lr2","lr4",-2635.40644605987
"81","generalElectionVote","euRefTurnoutRetro",-6003.75100809086
"82","al_scale","al3",-1086.77244317012
"83","pidConnected","pidCommonParty",-676.788955520176
"84","countryOfBirth","personality_agreeableness",-1520.4108336808
"85","euRefVote","EUIntegrationSelf",-5030.12738726095
"86","lr2","lr5",-1773.39384580246
"87","euID7","euID3",-1224.46950187785
"88","redistCon","redistUKIP",-4243.91373560083
"89","generalElectionVote","voteMethoda",-3437.2195398521
"90","likeLucas","likeGrn",-2498.99977750992
"91","personality_openness","personality_neuroticism",-438.361124534262
"92","generalElectionVote","partyContactLab_6",-7412.43758597953
"93","asylumMore","immigCultural",-3121.94141126011
"94","country","marital",-7592.61051998344
"95","al_scale","al4",-3004.15522237222
"96","ldUnited","grnUnited",-2801.11253828292
"97","generalElectionVote","likeSturgeon",-4101.35906740623
"98","EUIntegrationCon","EUIntegrationUKIP",-3396.60386835549
"99","bestOnMII","likeUKIP",-4100.63852782581
"100","redistGreen","redistLab",-1918.65035947032
"101","prefTradeoff","beliefTradeoff",-3776.52251893968
"102","effectsEUEcon","effectsEUFinance",-1019.80199414241
"103","euID3","euID2",-1055.43489749422
"104","euID3","euID1",-690.221611911998
"105","likeUKIP","likeNuttall",-976.764781332509
"106","partyId","partyContactLab_1",-6181.28936377392
"107","EUIntegrationLD","EUIntegrationGreen",-2953.3746345641
"108","partyId","partyIdStrength",-10064.7164059116
"109","generalElectionVote","profile_turnout_2015",-2839.26712575261
"110","partyId","leftRight",-1600.6138311204
"111","partyId","likeCon",-5804.76861887595
"112","generalElectionVote","reasonForVote",-7431.26121975515
"113","disability","profile_household_children",-1832.73997969596
"114","partyId","participation_2",-5585.64022239525
"115","partyContactLab_2","partyContactLab",-3253.6325094035
"116","redistCon","redistLD",-1187.6419724954
"117","natSecurityCon","natSecurityUKIP",-2894.69874477819
"118","infoSourceInternet","infoSourcePeople",-1437.39460034828
"119","generalElectionVote","partyContactLab_5",-5742.99419744979
"120","EUIntegrationSelf","effectsEUTrade",-710.425752937699
"121","effectsEUTrade","UKsovereigntyPost",-237.576585871429
"122","bestOnMII","partyContact1",-4178.76500930997
"123","partyId","pidWeThey",-4787.12115320288
"124","profile_past_vote_2015","genElecTurnoutRetro",-3807.13495896008
"125","likeCon","conUnited",-226.447140326207
"126","redistSelf","lr_scale",-1464.9202218242
"127","likeLucas","likeFarron",-1582.73901182512
"128","effectsEUImmigration","effectsEUTerror",-1261.94697527562
"129","generalElectionVote","partyContactLab_4",-4204.03496568774
"130","partyId","participation_1",-4072.76268226784
"131","EUIntegrationLab","EUIntegrationLD",-2360.85956499394
"132","ptvCon","redistSelf",-176.115587529464
"133","bestOnMII","euRefVote",-3759.13787989157
"134","polAttention","infoSourceTV",-704.90293171048
"135","pidMyParty","partyIdStrength",-110.638165314424
"136","euLeaveBigBusiness","euLeaveScotIndep",-989.514743115571
"137","generalElectionVote","profile_eurefturnout",-4261.01175419205
"138","participation_1","participation_2",-2114.30277176144
"139","bestOnMII","negotiationSpecifics_none",-3932.07813652215
"140","bestOnMII","integrityMay",-1785.74732003246
"141","likeBoris","integrityMay",-4231.21845787962
"142","likeMay","integrityMay",-999.039710338395
"143","bestOnMII","euRefDoOver",-2468.76427081996
"144","infoSourceTV","infoSourcePaper",-1380.68158956026
"145","profile_eurefturnout","profile_eurefvote",-1756.13935874554
"146","EUIntegrationSelf","controlImmig",-123.823673645864
"147","partyId","partyContactLab_7",-4198.28799744771
"148","profile_work_stat","profile_household_children",-4406.84856696629
"149","bestOnMII","asylumMore",-2493.06530390892
"150","partyContactLab_7","partyContactLab_5",-700.190642760588
"151","pidCommonParty","euID4",-872.283583760647
"152","countryOfBirth","personality_openness",-4048.73748117501
"153","ldUnited","labUnited",-1330.56666912043
"154","partyId","pidInterestedOthers",-3111.87468438278
"155","profile_past_vote_2015","country",-3809.22385138996
"156","EUIntegrationUKIP","redistCon",-286.467827515313
"157","asylumMore","natSecuritySelf",-149.24188532331
"158","EUIntegrationCon","EUIntegrationLab",-1474.36665697837
"159","generalElectionVote","competentCorbyn",-4939.69725277403
"160","countryOfBirth","personality_conscientiousness",-2457.60923318221
"161","econPersonalRetro","econGenRetro",-2241.89631588003
"162","generalElectionVote","competentFarron",-2638.86406912951
"163","generalElectionVote","ptvCon",-3986.50032299261
"164","generalElectionVote","partyContactLab",-5781.38796595301
"165","profile_newspaper","infoSourcePaper",-3477.33127904439
"166","EUIntegrationSelf","likeUKIP",-1373.52707477026
"167","natSecurityLab","natSecurityCon",-846.161114770293
"168","partyId","profile_newspaper",-3797.89600779911
"169","likeFarron","ldUnited",-143.884697957488
"170","profile_education_age","edlevel",-854.84412148354
"171","conUnited","ukipUnited",-544.790496206697
"172","likeCon","satDemUK",-108.009779087835
"173","bestOnMII","EUIntegrationSelf",-2932.29773997351
"174","bestOnMII","participation_5",-2574.36930716323
"175","ptvLD","ptvLab",-1424.36256533144
"176","likeLab","labUnited",-427.702819567334
"177","polAttention","EUIntegrationCon",-311.47378817173
"178","profile_marital_stat","profile_work_stat",-2795.47449356267
"179","partyId","pidMyParty",-2139.2715747355
"180","partyId","partyContactDK",-3112.67850277984
"181","familiesMore","studentsMore",-1285.57422285665
"182","generalElectionVote","likeRudd",-2253.94959905792
"183","marital","age",-3156.79250952128
"184","bestOnMII","blackEquality",-814.871692191562
"185","partyId","pidRuinDay",-2375.94725739319
"186","pidWeThey","pidCriticiseParty",-483.06848055181
"187","bestOnMII","ptvUKIP",-2949.01158611661
"188","participation_1","participation_5",-1667.65424773384
"189","generalElectionVote","partyContactLab_3",-3622.01872891865
"190","infoSourceTV","infoSourceRadio",-497.229916684031
"191","negotiationSpecifics_2","negotiationSpecifics_1",-2515.13494399535
"192","bestOnMII","likeLab",-2394.77745519426
"193","euLeaveBigBusiness","negotiationSpecifics_2",-213.877698587759
"194","pContactEday_10","pContactEday_99",-4560.88247513693
"195","countryOfBirth","personality_neuroticism",-3533.65697423115
"196","bestOnMII","lr2",-1950.45025980479
"197","lr_scale","lr2",-2067.19240690069
"198","partyId","likeLD",-3032.54147937832
"199","partyId","reasonForVote",-4159.89305134334
"200","generalElectionVote","likeSNP",-2743.24601861015
"201","likeGrn","grnUnited",-416.092395141008
"202","pidMyParty","pidRuinDay",-1173.54222558876
"203","profile_work_stat","profile_socialgrade_cie",-2249.9102058547
"204","competentLucas","likeLucas",-3414.40610427098
"205","likeLab","likeGrn",-87.85496835089
"206","effectsEUEcon","econGenRetro",-352.429617449146
"207","effectsEUEcon","effectsEUNHS",-1046.9937865614
"208","EUIntegrationSelf","profile_eurefvote",-545.072771500856
"209","profile_work_stat","profile_gross_personal",-2377.68913074672
"210","competentCorbyn","competentLucas",-1734.95313169004
"211","lr2","lr3",-1001.65981233057
"212","partyId","pidPraiseGood",-3087.18077410811
"213","generalElectionVote","partyContactLab_2",-2739.75418146696
"214","housing","disability",-1759.77922098777
"215","partyId","pidCriticiseParty",-2128.48838436791
"216","housing","profile_household_children",-1994.94811967278
"217","infoSourceTV","participation_3",-536.977991752528
"218","bestOnMII","prefTradeoff",-892.781903972362
"219","pContactEday_99","partyContactLab",-3881.46714977423
"220","pContactEday_10","partyContactLab",-3335.51866760378
"221","partyId","lr_scale",-1123.33695458714
"222","partyId","generalElectionVote",-4698.14110250662
"223","competentMay","competentCorbyn",-1352.54846849377
