"","i","code","constituency","Con","Lab","LD","Brexit","Green","SNP","PC","Other"
"1","  1","E14000530","Aldershot","55","25","16"," 0"," 5"," 0"," 0"," 0"
"2","  2","E14000531","Aldridge-Brownhills","67","22"," 6"," 0"," 2"," 0"," 0"," 2"
"3","  3","E14000532","Altrincham and Sale West","48","33","15"," 0"," 3"," 0"," 0"," 1"
"4","  4","E14000533","Amber Valley","57","33"," 6"," 0"," 3"," 0"," 0"," 0"
"5","  5","E14000534","Arundel and South Downs","55","17","21"," 0"," 5"," 0"," 0"," 3"
"6","  6","E14000535","Ashfield","43","32"," 6","11"," 3"," 0"," 0"," 5"
"7","  7","E14000536","Ashford","54","23","11"," 7"," 4"," 0"," 0"," 1"
"8","  8","E14000537","Ashton-under-Lyne","33","43"," 5","15"," 4"," 0"," 0"," 0"
"9","  9","E14000538","Aylesbury","50","26","20"," 0"," 5"," 0"," 0"," 0"
"10"," 10","E14000539","Banbury","53","27","16"," 0"," 4"," 0"," 0"," 0"
"11"," 11","E14000540","Barking","25","52"," 7","12"," 4"," 0"," 0"," 0"
"12"," 12","E14000541","Barnsley Central","20","44"," 6","25"," 4"," 0"," 0"," 2"
"13"," 13","E14000542","Barnsley East","27","39"," 6","24"," 4"," 0"," 0"," 0"
"14"," 14","E14000543","Barrow and Furness","50","35"," 7"," 5"," 3"," 0"," 0"," 0"
"15"," 15","E14000544","Basildon and Billericay","63","22"," 8"," 0"," 3"," 0"," 0"," 3"
"16"," 16","E14000545","Basingstoke","50","29","14"," 0"," 4"," 0"," 0"," 2"
"17"," 17","E14000546","Bassetlaw","44","38"," 7","11"," 0"," 0"," 0"," 0"
"18"," 18","E14000547","Bath","33","11","52"," 3"," 0"," 0"," 0"," 2"
"19"," 19","E14000548","Batley and Spen","36","44"," 7"," 8"," 3"," 0"," 0"," 2"
"20"," 20","E14000549","Battersea","33","43","18"," 2"," 4"," 0"," 0"," 0"
"21"," 21","E14000550","Beaconsfield","56","12"," 0"," 0"," 4"," 0"," 0","28"
"22"," 22","E14000551","Beckenham","53","21","22"," 0"," 4"," 0"," 0"," 0"
"23"," 23","E14000552","Bedford","40","39","11"," 6"," 4"," 0"," 0"," 0"
"24"," 24","E14000553","Bermondsey and Old Southwark","13","51","34"," 3"," 0"," 0"," 0"," 0"
"25"," 25","E14000554","Berwick-upon-Tweed","53","20","24"," 0"," 4"," 0"," 0"," 0"
"26"," 26","E14000555","Bethnal Green and Bow","13","61","14"," 3"," 7"," 0"," 0"," 3"
"27"," 27","E14000556","Beverley and Holderness","57","26","12"," 0"," 3"," 0"," 0"," 2"
"28"," 28","E14000557","Bexhill and Battle","54","17","17"," 9"," 4"," 0"," 0"," 0"
"29"," 29","E14000558","Bexleyheath and Crayford","58","30"," 7"," 0"," 3"," 0"," 0"," 2"
"30"," 30","E14000559","Birkenhead","20","49"," 9"," 7"," 6"," 0"," 0","10"
"31"," 31","E14000560","Birmingham, Edgbaston","37","48"," 8"," 5"," 3"," 0"," 0"," 0"
"32"," 32","E14000561","Birmingham, Erdington","36","47"," 6"," 8"," 4"," 0"," 0"," 0"
"33"," 33","E14000562","Birmingham, Hall Green","18","61","11"," 5"," 4"," 0"," 0"," 2"
"34"," 34","E14000563","Birmingham, Hodge Hill","18","62"," 7"," 7"," 4"," 0"," 0"," 2"
"35"," 35","E14000564","Birmingham, Ladywood","17","64"," 8"," 5"," 5"," 0"," 0"," 0"
"36"," 36","E14000565","Birmingham, Northfield","40","43"," 6"," 7"," 3"," 0"," 0"," 1"
"37"," 37","E14000566","Birmingham, Perry Barr","28","53"," 7"," 6"," 4"," 0"," 0"," 1"
"38"," 38","E14000567","Birmingham, Selly Oak","32","52"," 7"," 5"," 4"," 0"," 0"," 0"
"39"," 39","E14000568","Birmingham, Yardley","22","48","17"," 9"," 4"," 0"," 0"," 0"
"40"," 40","E14000569","Bishop Auckland","47","39"," 6"," 8"," 0"," 0"," 0"," 0"
"41"," 41","E14000570","Blackburn","27","54"," 7"," 8"," 3"," 0"," 0"," 2"
"42"," 42","E14000571","Blackley and Broughton","22","56"," 9"," 9"," 4"," 0"," 0"," 0"
"43"," 43","E14000572","Blackpool North and Cleveleys","56","35"," 5"," 0"," 3"," 0"," 0"," 2"
"44"," 44","E14000573","Blackpool South","43","37"," 5","11"," 3"," 0"," 0"," 2"
"45"," 45","E14000574","Blaydon","28","44","10","14"," 3"," 0"," 0"," 1"
"46"," 46","E14000575","Blyth Valley","37","43"," 7"," 9"," 3"," 0"," 0"," 0"
"47"," 47","E14000576","Bognor Regis and Littlehampton","56","21","15"," 0"," 4"," 0"," 0"," 4"
"48"," 48","E14000577","Bolsover","42","38"," 5","12"," 2"," 0"," 0"," 2"
"49"," 49","E14000578","Bolton North East","41","42"," 6"," 9"," 3"," 0"," 0"," 0"
"50"," 50","E14000579","Bolton South East","28","47"," 6","16"," 3"," 0"," 0"," 0"
"51"," 51","E14000580","Bolton West","54","36"," 7"," 0"," 2"," 0"," 0"," 0"
"52"," 52","E14000581","Bootle","15","67"," 6"," 8"," 4"," 0"," 0"," 0"
"53"," 53","E14000582","Boston and Skegness","70","20"," 7"," 0"," 0"," 0"," 0"," 3"
"54"," 54","E14000583","Bosworth","55","16","25"," 0"," 4"," 0"," 0"," 0"
"55"," 55","E14000584","Bournemouth East","52","30","11"," 0"," 5"," 0"," 0"," 2"
"56"," 56","E14000585","Bournemouth West","51","33","11"," 0"," 5"," 0"," 0"," 0"
"57"," 57","E14000586","Bracknell","55","22","18"," 0"," 3"," 0"," 0"," 2"
"58"," 58","E14000587","Bradford East","23","53","10","10"," 5"," 0"," 0"," 0"
"59"," 59","E14000588","Bradford South","37","42"," 6","12"," 3"," 0"," 0"," 0"
"60"," 60","E14000589","Bradford West","21","54"," 8"," 9"," 4"," 0"," 0"," 5"
"61"," 61","E14000590","Braintree","65","20","12"," 0"," 0"," 0"," 0"," 3"
"62"," 62","E14000591","Brent Central","23","60","12"," 0"," 5"," 0"," 0"," 0"
"63"," 63","E14000592","Brent North","31","52","10"," 3"," 3"," 0"," 0"," 1"
"64"," 64","E14000593","Brentford and Isleworth","36","46","13"," 3"," 2"," 0"," 0"," 0"
"65"," 65","E14000594","Brentwood and Ongar","64","14","19"," 0"," 3"," 0"," 0"," 0"
"66"," 66","E14000595","Bridgwater and West Somerset","56","23","15"," 0"," 3"," 0"," 0"," 2"
"67"," 67","E14000596","Brigg and Goole","62","27"," 8"," 0"," 3"," 0"," 0"," 0"
"68"," 68","E14000597","Brighton, Kemptown","34","51"," 9"," 4"," 3"," 0"," 0"," 0"
"69"," 69","E14000598","Brighton, Pavilion","19","13"," 0"," 3","63"," 0"," 0"," 2"
"70"," 70","E14000599","Bristol East","30","53"," 8"," 4"," 4"," 0"," 0"," 0"
"71"," 71","E14000600","Bristol North West","39","47","11"," 0"," 4"," 0"," 0"," 0"
"72"," 72","E14000601","Bristol South","28","52"," 9"," 6"," 5"," 0"," 0"," 0"
"73"," 73","E14000602","Bristol West","15","62"," 0"," 3","20"," 0"," 0"," 0"
"74"," 74","E14000603","Broadland","56","22","17"," 0"," 3"," 0"," 0"," 2"
"75"," 75","E14000604","Bromley and Chislehurst","48","29","16"," 0"," 4"," 0"," 0"," 2"
"76"," 76","E14000605","Bromsgrove","58","23","15"," 0"," 4"," 0"," 0"," 0"
"77"," 77","E14000606","Broxbourne","65","21"," 9"," 0"," 4"," 0"," 0"," 0"
"78"," 78","E14000607","Broxtowe","45","35"," 0"," 0"," 4"," 0"," 0","15"
"79"," 79","E14000608","Buckingham","53","15","24"," 6"," 0"," 0"," 0"," 2"
"80"," 80","E14000609","Burnley","31","39"," 9","16"," 3"," 0"," 0"," 2"
"81"," 81","E14000610","Burton","56","31"," 8"," 0"," 4"," 0"," 0"," 0"
"82"," 82","E14000611","Bury North","43","43"," 5"," 6"," 2"," 0"," 0"," 0"
"83"," 83","E14000612","Bury South","43","40"," 7"," 5"," 3"," 0"," 0"," 3"
"84"," 84","E14000613","Bury St Edmunds","55","23"," 0"," 0","18"," 0"," 0"," 3"
"85"," 85","E14000614","Calder Valley","52","39"," 7"," 0"," 0"," 0"," 0"," 2"
"86"," 86","E14000615","Camberwell and Peckham","12","63","15"," 4"," 5"," 0"," 0"," 1"
"87"," 87","E14000616","Camborne and Redruth","49","37"," 9"," 0"," 4"," 0"," 0"," 2"
"88"," 88","E14000617","Cambridge","14","49","28"," 3"," 5"," 0"," 0"," 1"
"89"," 89","E14000618","Cannock Chase","67","27"," 0"," 0"," 5"," 0"," 0"," 0"
"90"," 90","E14000619","Canterbury","43","47"," 8"," 0"," 0"," 0"," 0"," 2"
"91"," 91","E14000620","Carlisle","54","37"," 7"," 0"," 0"," 0"," 0"," 2"
"92"," 92","E14000621","Carshalton and Wallington","40"," 9","41"," 5"," 3"," 0"," 0"," 1"
"93"," 93","E14000622","Castle Point","72","18","10"," 0"," 0"," 0"," 0"," 0"
"94"," 94","E14000623","Central Devon","55","23","18"," 0"," 5"," 0"," 0"," 0"
"95"," 95","E14000624","Central Suffolk and North Ipswich","60","23","13"," 0"," 4"," 0"," 0"," 0"
"96"," 96","E14000625","Charnwood","59","27","11"," 0"," 4"," 0"," 0"," 0"
"97"," 97","E14000626","Chatham and Aylesford","58","28"," 8"," 0"," 4"," 0"," 0"," 3"
"98"," 98","E14000627","Cheadle","47","11","42"," 0"," 0"," 0"," 0"," 0"
"99"," 99","E14000628","Chelmsford","51","18","28"," 0"," 0"," 0"," 0"," 3"
"100","100","E14000629","Chelsea and Fulham","43","23","32"," 0"," 0"," 0"," 0"," 2"
"101","101","E14000630","Cheltenham","45"," 8","45"," 0"," 0"," 0"," 0"," 2"
"102","102","E14000631","Chesham and Amersham","53","13","30"," 0"," 4"," 0"," 0"," 0"
"103","103","E14000632","Chesterfield","36","42"," 8"," 9"," 3"," 0"," 0"," 2"
"104","104","E14000633","Chichester","56","13","25"," 0"," 4"," 0"," 0"," 2"
"105","105","E14000634","Chingford and Woodford Green","50","41"," 9"," 0"," 0"," 0"," 0"," 0"
"106","106","E14000635","Chippenham","55","12","32"," 0"," 0"," 0"," 0"," 0"
"107","107","E14000636","Chipping Barnet","41","41","14"," 0"," 3"," 0"," 0"," 1"
"108","108","E14000637","Chorley"," 0"," 0"," 0"," 0","11"," 0"," 0","89"
"109","109","E14000638","Christchurch","64","14","19"," 0"," 3"," 0"," 0"," 0"
"110","110","E14000639","Cities of London and Westminster","40","28","27"," 0"," 3"," 0"," 0"," 1"
"111","111","E14000640","City of Chester","38","48"," 7"," 4"," 3"," 0"," 0"," 0"
"112","112","E14000641","City of Durham","32","43","12"," 9"," 4"," 0"," 0"," 0"
"113","113","E14000642","Clacton","66","19"," 7"," 0"," 4"," 0"," 0"," 4"
"114","114","E14000643","Cleethorpes","64","26"," 7"," 0"," 3"," 0"," 0"," 0"
"115","115","E14000644","Colchester","48","29","19"," 0"," 3"," 0"," 0"," 0"
"116","116","E14000645","Colne Valley","44","39"," 7"," 6"," 3"," 0"," 0"," 1"
"117","117","E14000646","Congleton","53","29","13"," 0"," 3"," 0"," 0"," 2"
"118","118","E14000647","Copeland","54","38"," 6"," 0"," 2"," 0"," 0"," 0"
"119","119","E14000648","Corby","55","38"," 7"," 0"," 0"," 0"," 0"," 0"
"120","120","E14000649","Coventry North East","33","49"," 7"," 8"," 4"," 0"," 0"," 0"
"121","121","E14000650","Coventry North West","40","42"," 8"," 7"," 3"," 0"," 0"," 0"
"122","122","E14000651","Coventry South","40","43"," 7"," 5"," 4"," 0"," 0"," 1"
"123","123","E14000652","Crawley","50","39"," 8"," 0"," 3"," 0"," 0"," 0"
"124","124","E14000653","Crewe and Nantwich","43","39"," 8"," 7"," 3"," 0"," 0"," 1"
"125","125","E14000654","Croydon Central","39","45"," 7"," 4"," 3"," 0"," 0"," 1"
"126","126","E14000655","Croydon North","22","60"," 9"," 4"," 4"," 0"," 0"," 1"
"127","127","E14000656","Croydon South","51","31","14"," 0"," 3"," 0"," 0"," 2"
"128","128","E14000657","Dagenham and Rainham","40","38"," 7","11"," 3"," 0"," 0"," 1"
"129","129","E14000658","Darlington","43","41"," 6"," 7"," 2"," 0"," 0"," 1"
"130","130","E14000659","Dartford","61","29"," 6"," 0"," 3"," 0"," 0"," 0"
"131","131","E14000660","Daventry","61","20","15"," 0"," 4"," 0"," 0"," 0"
"132","132","E14000661","Denton and Reddish","28","45"," 8","13"," 4"," 0"," 0"," 2"
"133","133","E14000662","Derby North","44","36"," 9"," 6"," 3"," 0"," 0"," 2"
"134","134","E14000663","Derby South","34","47"," 8","11"," 0"," 0"," 0"," 0"
"135","135","E14000664","Derbyshire Dales","54","26","16"," 0"," 4"," 0"," 0"," 0"
"136","136","E14000665","Devizes","58","17","20"," 0"," 6"," 0"," 0"," 0"
"137","137","E14000666","Dewsbury","42","41"," 6"," 6"," 3"," 0"," 0"," 1"
"138","138","E14000667","Don Valley","41","33"," 8","14"," 2"," 0"," 0"," 2"
"139","139","E14000668","Doncaster Central","33","40"," 6","15"," 3"," 0"," 0"," 3"
"140","140","E14000669","Doncaster North","29","43"," 6","19"," 0"," 0"," 0"," 3"
"141","141","E14000670","Dover","52","33"," 8"," 0"," 4"," 0"," 0"," 3"
"142","142","E14000671","Dudley North","46","39"," 5"," 6"," 2"," 0"," 0"," 2"
"143","143","E14000672","Dudley South","60","29"," 8"," 0"," 3"," 0"," 0"," 0"
"144","144","E14000673","Dulwich and West Norwood","18","61"," 0"," 4","14"," 0"," 0"," 3"
"145","145","E14000674","Ealing Central and Acton","31","49","15"," 3"," 3"," 0"," 0"," 0"
"146","146","E14000675","Ealing North","29","54","13"," 0"," 4"," 0"," 0"," 0"
"147","147","E14000676","Ealing, Southall","20","56","14"," 4"," 4"," 0"," 0"," 1"
"148","148","E14000677","Easington","25","47"," 7","16"," 0"," 0"," 0"," 4"
"149","149","E14000678","East Devon","47"," 6"," 4"," 0"," 2"," 0"," 0","41"
"150","150","E14000679","East Ham","17","65"," 9"," 4"," 3"," 0"," 0"," 1"
"151","151","E14000680","East Hampshire","55","12","27"," 0"," 4"," 0"," 0"," 2"
"152","152","E14000681","East Surrey","54","14","25"," 0"," 4"," 0"," 0"," 4"
"153","153","E14000682","East Worthing and Shoreham","50","34","10"," 0"," 4"," 0"," 0"," 2"
"154","154","E14000683","East Yorkshire","57","26","10"," 0"," 4"," 0"," 0"," 3"
"155","155","E14000684","Eastbourne","48"," 8","38"," 6"," 0"," 0"," 0"," 1"
"156","156","E14000685","Eastleigh","53","10","33"," 0"," 4"," 0"," 0"," 0"
"157","157","E14000686","Eddisbury","54","19","21"," 0"," 3"," 0"," 0"," 3"
"158","158","E14000687","Edmonton","25","57"," 8"," 4"," 4"," 0"," 0"," 1"
"159","159","E14000688","Ellesmere Port and Neston","36","47"," 8"," 6"," 3"," 0"," 0"," 0"
"160","160","E14000689","Elmet and Rothwell","51","31","13"," 0"," 3"," 0"," 0"," 2"
"161","161","E14000690","Eltham","38","45"," 9"," 5"," 3"," 0"," 0"," 0"
"162","162","E14000691","Enfield North","37","46"," 9"," 5"," 3"," 0"," 0"," 0"
"163","163","E14000692","Enfield, Southgate","40","45","10"," 3"," 2"," 0"," 0"," 0"
"164","164","E14000693","Epping Forest","61","20","13"," 0"," 4"," 0"," 0"," 3"
"165","165","E14000694","Epsom and Ewell","51","16","27"," 0"," 4"," 0"," 0"," 2"
"166","166","E14000695","Erewash","52","37"," 6"," 0"," 3"," 0"," 0"," 2"
"167","167","E14000696","Erith and Thamesmead","38","41"," 9"," 8"," 3"," 0"," 0"," 1"
"168","168","E14000697","Esher and Walton","49","11","38"," 0"," 0"," 0"," 0"," 2"
