"pano","ons_const_id","constituency_name","country","region","constituency_type","winner_17","con_17","lab_17","ld_17","snp_17","pc_17","ukip_17","green_17","other_17","majority_17","turnout_17","con_vote_17","lab_vote_17","ld_vote_17","snp_vote_17","pc_vote_17","ukip_vote_17","green_vote_17","total_vote_17","rejected_vote_17","electorate_17","seat_change_1517","con_1517","lab_1517","ld_1517","snp_1517","pc_1517","ukip_1517","green_1517","winner_15","con_15","lab_15","ld_15","snp_15","pc_15","ukip_15","green_15","other_15","majority_15","turnout_15","con_vote_15","lab_vote_15","ld_vote_15","snp_vote_15","pc_vote_15","ukip_vote_15","green_vote_15","bnp_vote_15","total_vote_15","rejected_vote_15","electorate_15","seat_change_1015","con_1015","lab_1015","ld_1015","snp_1015","pc_1015","ukip_1015","green_1015","winner_10","con_10","lab_10","ld_10","snp_10","pc_10","ukip_10","green_10","bnp_10","majority_10","turn_10","con_vote_10","lab_vote_10","ld_vote_10","snp_vote_10","pc_vote_10","ukip_vote_10","green_vote_10","bnp_vote_10","total_vote_10","electorate_10","leave_hanretty","remain_hanretty","con_ppc_17","con_ppc_sex_17","lab_ppc_17","lab_ppc_sex_17","ld_ppc_17","ld_ppc_sex_17","snp_ppc_17","snp_ppc_sex_17","pc_ppc_17","pc_ppc_sex_17","ukip_ppc_17","ukip_ppc_sex_17","green_ppc_17","green_ppc_sex_17","con_ppc_15","con_ppc_sex_15","con_ppc_race_15","lab_ppc_15","lab_ppc_sex_15","lab_ppc_race_15","ld_ppc_15","ld_ppc_sex_15","ld_ppc_race_15","snp_ppc_15","snp_ppc_sex_15","snp_ppc_race_15","pc_ppc_15","pc_ppc_sex_15","pc_ppc_race_15","ukip_ppc_15","ukip_ppc_sex_15","ukip_ppc_race_15","green_ppc_15","green_ppc_sex_15","green_ppc_race_15"
1,"W07000049","Aberavon","Wales","Wales","County","Labour",17.7377660214019,68.1195142479259,1.80052903691235,NA,8.29926656246243,4.04292413129734,NA,NA,50.381748226524,66.6800288623427,5901,22662,599,NA,2761,1345,NA,33268,57,49892,NA,5.86706843551228,19.2155393724382,-2.63115576466111,NA,-3.32082035819868,-11.7265140566924,-2.25549598705707,"Labour",11.8706975858897,48.9039748754877,4.43168480157345,NA,11.6200869206611,15.7694381879897,2.25549598705707,5.14862164134124,33.134536687498,63.272515605869,3742,15416,1397,NA,3663,4971,711,NA,31523,57,49821,NA,-2.37930241411033,-3.01602512451226,-11.8283151984265,NA,4.52008692066111,14.1894381879897,2.25549598705707,"Labour",14.25,51.92,16.26,NA,7.1,1.58,NA,4.12,35.7,61,4411,16073,5034,NA,2198,489,NA,1276,30958,50838,60.12448399,39.87551601,"Vidal, Sadie","Woman","Kinnock, Stephen","Man","Phillips, Cen","Man",NA,NA,"Bennison, Andrew","Man","Jones, Caroline","Woman",NA,NA,"Yi, Edward He","Man","BME","Kinnock, Stephen","Man","White","Clarke, Helen Ceri","Woman","White",NA,NA,NA,"Higgitt, Duncan","Man","White","Bush, Peter","Man","White","Tier, Jonathan","Man","White"
2,"W07000058","Aberconwy","Wales","Wales","County","Conservative",44.5940902021773,42.6189735614308,2.92690513219285,NA,9.86003110419907,NA,NA,NA,1.9751166407465,71.0481536319639,14337,13702,941,NA,3170,NA,NA,32150,78,45251,NA,3.08884939018314,14.3782942460533,-1.68699960443977,NA,-1.86877345995113,-11.4999336606077,-2.41143691123789,"Conservative",41.5052408119942,28.2406793153775,4.61390473663261,NA,11.7288045641502,11.4999336606077,2.41143691123789,NA,13.2645614966167,66.222954420648,12513,8514,1391,NA,3536,3467,727,NA,30148,59,45525,NA,5.68524081199416,3.76067931537747,-14.6960952633674,NA,-6.09119543584981,9.38993366060767,2.41143691123789,"Conservative",35.82,24.48,19.31,NA,17.82,2.11,NA,NA,11.3,67.2,10734,7336,5786,NA,5341,632,NA,NA,29966,44593,52.19711731,47.80288269,"Bebb, Guto","Man","Owen, Emily","Woman","Lesiter-Burgess, Sarah","Woman",NA,NA,"Jones, Wyn","Man",NA,NA,NA,NA,"Bebb, Guto ap Owain","Man","White","Wimbury, Mary Felicity","Woman","White","Babu, Victor","Man","BME",NA,NA,NA,"Meurig, Dafydd","Man","White","Haigh, Andrew","Man","White","Haig, Petra Mary","Woman","White"
3,"S14000001","Aberdeen North","Scotland","Scotland","Borough","Scottish National Party",22.6922763011127,30.0106102239029,4.60592540196425,41.2710504121664,NA,NA,NA,1.42013766085373,11.2604401882635,59.1614356993401,8341,11031,1693,15170,NA,NA,NA,36757,55,62130,NA,10.6201714212875,4.07060658224233,-0.0599522382396813,-15.158756579822,NA,NA,NA,"Scottish National Party",12.0721048798252,25.9400036416606,4.66587764020393,56.4298069919884,NA,NA,NA,0.892206846321923,30.4898033503278,64.8549708465569,5304,11397,2050,24793,NA,NA,NA,NA,43936,78,67745,"Scottish National Party gain from Labour",-0.3078951201748,-18.4799963583394,-13.9041223597961,34.1898069919883,NA,NA,NA,"Labour",12.38,44.42,18.57,22.24,NA,NA,NA,1.68,22.2,58.2,4666,16746,7001,8385,NA,NA,NA,635,37701,64808,43.09220874,56.90779126,"O'Keeffe, Grace","Woman","Vinegold, Orr","Man","Davidson, Isobel","Woman","Blackman, Kirsty","Woman",NA,NA,NA,NA,NA,NA,"Sen, Sanjoy","Man","BME","Baker, Richard","Man","White","Davidson, Euan","Man","White","Blackman, Kirsty","Woman","White",NA,NA,NA,NA,NA,NA,NA,NA,NA
4,"S14000002","Aberdeen South","Scotland","Scotland","Borough","Conservative",42.1324702762232,20.5492998898703,5.86609129525993,31.4521385386465,NA,NA,NA,NA,10.6803317375767,68.4887014346407,18746,9143,2610,13994,NA,NA,NA,44493,63,64964,"Conservative gain from Scottish National Party",19.2966893448315,-6.20813044112183,1.22766984153086,-10.1968491238115,NA,-1.84754176021091,-1.98554097752878,"Scottish National Party",22.8357809313917,26.7574303309922,4.63842145372907,41.648987662458,NA,1.84754176021091,1.98554097752878,0.286296883689316,14.8915573314659,71.3397790055249,11087,12991,2252,20221,NA,897,964,NA,48551,56,68056,"Scottish National Party gain from Labour",2.12578093139173,-9.77256966900785,-23.7515785462709,29.788987662458,NA,1.84754176021091,1.02554097752878,"Labour",20.71,36.53,28.39,11.86,NA,NA,0.96,1.23,8.2,67.2,8914,15722,12216,5102,NA,NA,413,529,43034,64031,32.1431052,67.8568948,"Thomson, Ross","Man","O'Dwyer, Callum","Man","Wilson, Jenny","Woman","McCaig, Callum","Man",NA,NA,NA,NA,NA,NA,"Thomson, Ross","Man","White","Begg, Anne","Woman","White","Rixson, Denis","Man","White","McCaig, Callum","Man","White",NA,NA,NA,"Skinner, Sandra","Woman","White","Yeats, Dan","Man","White"
5,"S14000058","West Aberdeenshire and Kincardine","Scotland","Scotland","County","Conservative",47.852784503632,11.052784503632,8.6411622276029,32.4532687651332,NA,NA,NA,NA,15.3995157384988,71.2294934944879,24704,5706,4461,16754,NA,NA,NA,51625,49,72477,"Conservative gain from Scottish National Party",19.0173616469032,6.54702321658218,-12.7589392290244,-9.12401944415736,NA,-1.82259584027828,-1.60337705630843,"Scottish National Party",28.8354228567287,4.50576128704979,21.4001014566273,41.5772882092905,NA,1.82259584027828,1.60337705630843,0.255453293716936,12.7418653525618,75.1528354551025,15916,2487,11812,22949,NA,1006,885,NA,55196,43,73445,"Scottish National Party gain from Liberal Democrat",-1.42457714327125,-9.12423871295021,-17.0198985433727,25.8972882092905,NA,0.942595840278281,1.60337705630843,"Liberal Democrat",30.26,13.63,38.42,15.68,NA,0.88,NA,1.14,8.2,68.4,13678,6159,17362,7086,NA,397,NA,513,45195,66110,38.51948274,61.48051726,"Bowie, Andrew","Man","Black, Barry","Man","Waddell, John","Man","Donaldson, Stuart","Man",NA,NA,NA,NA,NA,NA,"Burnett, Alexander James Amherst","Man","White","Black, Barry","Man","White","Smith, Robert Hill","Man","White","Donaldson, Stuart Blair","Man","White",NA,NA,NA,"Lansdell, David Michael","Man","White","Openshaw, Richard Paul","Man","White"
6,"S14000003","Airdrie and Shotts","Scotland","Scotland","County","Scottish National Party",23.1908846902795,37.0927845902847,2.11041524130309,37.6059154781327,NA,NA,NA,NA,0.513130887848008,59.2429769588127,8813,14096,802,14291,NA,NA,NA,38002,47,64146,NA,15.5383534162877,2.97816597492095,0.57945737651512,-16.3321236312924,NA,-2.45675834349456,NA,"Scottish National Party",7.65253127399178,34.1146186153638,1.53095786478797,53.9380391094251,NA,2.45675834349456,NA,0.30709479293682,19.8234204940613,66.304347826087,3389,15108,678,23887,NA,1088,NA,NA,44286,45,66792,"Scottish National Party gain from Labour",-1.08746872600822,-24.0453813846362,-6.54904213521203,30.3880391094251,NA,2.45675834349456,NA,"Labour",8.74,58.16,8.08,23.55,NA,NA,NA,NA,34.6,57.5,3133,20849,2898,8441,NA,NA,NA,NA,35849,62364,39.83812657,60.16187343,"Donnellan, Jennifer","Woman","McFarlane, Helen","Woman","McRobert, Ewan","Man","Gray, Neil","Man",NA,NA,NA,NA,NA,NA,"Holford, Eric","Man","White","Nash, Pamela","Woman","White","Love, John","Man","White","Gray, Neil Charles","Man","White",NA,NA,NA,"Williams, Matt","Man","White",NA,NA,NA
7,"E14000530","Aldershot","England","South East","Borough","Conservative",55.0561797752809,31.6179775280899,7.43003064351379,NA,NA,3.66905005107252,2.2267620020429,NA,23.438202247191,64.2346302736041,26950,15477,3637,NA,NA,1796,1090,48950,102,76205,NA,4.46407308783097,13.2854019181226,-1.39419918480775,NA,NA,-14.198066919766,-2.15720890137984,"Conservative",50.5921066874499,18.3325756099673,8.82422982832153,NA,NA,17.8671169708385,4.38397090342274,NA,32.2595310774826,63.7732983570344,23369,8468,4076,NA,NA,8253,2025,NA,46191,114,72430,NA,3.87210668744994,6.24257560996731,-25.5857701716785,NA,NA,13.3671169708385,4.38397090342274,"Conservative",46.72,12.09,34.41,NA,NA,4.5,NA,NA,12.3,63.5,21203,5489,15617,NA,NA,2041,NA,NA,45384,71465,57.89776574,42.10223426,"Docherty, Leo","Man","Puffett, Gary","Man","Hilliar, Alan","Man",NA,NA,NA,NA,"Swales, Roy","Man","Wallace, Donna","Woman","Howarth, Gerald","Man","White","Puffett, Gary John","Man","White","Hilliar, Alan Richard","Man","White",NA,NA,NA,NA,NA,NA,"Walker, Bill (William)","Man","White","Hewitt, Carl Robert","Man","White"
8,"E14000531","Aldridge-Brownhills","England","West Midlands","Borough","Conservative",65.4082266683236,29.849633403753,3.33788989685597,NA,NA,NA,NA,1.40425003106749,35.5585932645706,66.6550701588721,26317,12010,1343,NA,NA,NA,NA,40235,87,60363,NA,13.3587039197604,7.48084590090463,-0.0294544584115179,NA,NA,-19.6242752614123,-2.09129807327139,"Conservative",52.0495227485632,22.3687875028483,3.36734435526749,NA,NA,19.6242752614123,2.09129807327139,0.498772058637365,29.6807352457149,65.5932907082953,20558,8835,1330,NA,NA,7751,826,NA,39497,105,60215,NA,-7.26047725143682,2.57878750284832,-14.3226556447325,NA,NA,19.6242752614123,-0.0987019267286122,"Conservative",59.31,19.79,17.69,NA,NA,NA,2.19,NA,39.5,65.1,22913,7647,6833,NA,NA,NA,847,NA,38634,58970,67.79634958,32.20365042,"Morton, Wendy","Woman","Fisher, John","Man","Garrett, Ian","Man",NA,NA,NA,NA,NA,NA,NA,NA,"Morton, Wendy","Woman","White","Fisher, John Gary","Man","White","Garrett, Ian","Man","White",NA,NA,NA,NA,NA,NA,"Thompson, Anthony Stephen Geoffrey","Man","White","Curzey, Martyn Joshua","Man","White"
9,"E14000532","Altrincham and Sale West","England","North West","Borough","Conservative",51.0191324114416,38.8463724190188,7.6738018564122,NA,NA,NA,1.89429816253078,0.566395150596705,12.1727599924228,72.091879933357,26933,20507,4051,NA,NA,NA,1000,52790,132,73226,NA,-1.97490919831357,12.1603063422525,-0.709514650902172,NA,NA,-8.01116455846547,-2.03111308516801,"Conservative",52.9940416097551,26.6860660767662,8.38331650731437,NA,NA,8.01116455846547,3.92541124769879,NA,26.3079755329889,70.642278810253,26771,13481,4235,NA,NA,4047,1983,NA,50517,158,71511,NA,4.04404160975513,4.26606607676623,-17.0866834926856,NA,NA,4.85116455846547,3.92541124769879,"Conservative",48.95,22.42,25.47,NA,NA,3.16,NA,NA,23.5,69.3,24176,11073,12581,NA,NA,1563,NA,NA,49393,72208,38.58779999,61.41220001,"Brady, Graham","Man","Western, Andrew","Man","Brophy, Jane","Woman",NA,NA,NA,NA,NA,NA,"Coggins, Geraldine","Woman","Brady, Graham Stuart","Man","White","Wright, James Alexander","Man","White","Brophy, Jane Elisabeth","Woman","White",NA,NA,NA,NA,NA,NA,"Frost, Chris","Man",NA,"Robertson-Brown, Nick","Man","White"
10,"W07000043","Alyn and Deeside","Wales","Wales","County","Labour",40.3932082216265,52.0889186773905,2.40616621983914,NA,2.61617515638963,2.49553172475424,NA,1.4210854715202e-14,11.6957104557641,71.0329614523987,18080,23315,1077,NA,1171,1117,NA,44760,84,63013,NA,8.45004125643305,12.054063664562,-1.78853775460052,NA,-1.27596794280192,-15.0772039096554,-2.36239531393716,"Labour",31.9431669651934,40.0348550128286,4.19470397443966,NA,3.89214309919156,17.5727356344096,2.36239531393716,NA,8.09168804763518,66.6182920536636,13197,16540,1733,NA,1608,7260,976,NA,41314,55,62016,NA,-0.326833034806604,0.444855012828576,-14.1152960255603,NA,0.0121430991915572,15.0427356344096,2.36239531393716,"Labour",32.27,39.59,18.31,NA,3.88,2.53,NA,3.43,7.3,65.5,12885,15804,7308,NA,1549,1009,NA,1368,39923,60931,58.05336875,41.94663125,"Knightly, Laura","Woman","Tami, Mark","Man","Williams, Pete","Man",NA,NA,"Hurst, Jacqui","Woman","Griffiths, David","Man",NA,NA,"Knightly, Laura","Woman","White","Tami, Mark","Man","White","Jones, Tudor","Man","White",NA,NA,NA,"Hurst, Jacqueline Ann","Woman","White","Smillie, Blair","Man","White","Ibbotson, Alasdair","Man","White"
11,"E14000533","Amber Valley","England","East Midlands","County","Conservative",56.5475540808976,38.4296348038681,2.40117002466656,NA,NA,NA,1.41887319639388,1.20276789417389,18.1179192770295,67.3047821934915,25905,17605,1100,NA,NA,NA,650,45811,99,68065,NA,12.5682903496816,3.64826244785171,-0.573653345195849,NA,NA,-15.8868692171402,-0.958798129371153,"Conservative",43.979263731216,34.7813723560164,2.97482336986241,NA,NA,15.8868692171402,2.37767132576503,NA,9.1978913751996,65.7703927492447,20106,15901,1360,NA,NA,7263,1087,NA,45717,103,69510,NA,5.36926373121596,-2.66862764398364,-11.4651766301376,NA,NA,13.9168692171402,2.37767132576503,"Conservative",38.61,37.45,14.44,NA,NA,1.97,NA,6.95,1.2,65.5,17746,17210,6636,NA,NA,906,NA,3195,45958,70171,65.29912472,34.70087528,"Mills, Nigel","Man","Dawson, James","Man","Smith, Kate","Woman",NA,NA,NA,NA,NA,NA,"McGuinness, Matt","Man","Mills, Nigel John","Man","White","Gillott, Kevin","Man","White","Smith, Kate","Woman","White",NA,NA,NA,NA,NA,NA,"Bent, Stuart","Man","White","Devine, John","Man","White"
12,"S14000004","Angus","Scotland","Scotland","County","Conservative",45.1532643312102,13.0200039808917,3.25437898089172,38.5723527070064,NA,NA,NA,NA,6.58091162420382,62.9573934837093,18148,5233,1308,15503,NA,NA,NA,40192,65,63840,"Conservative gain from Scottish National Party",16.1547254978956,4.21029284230568,0.520873304821134,-15.6706505525193,NA,-3.04597055187142,-2.16927054063167,"Scottish National Party",28.9985388333146,8.80971113858604,2.73350567607059,54.2430032595257,NA,3.04597055187142,2.16927054063167,NA,25.2444644262111,67.6146035992218,12900,3919,1216,24130,NA,1355,965,NA,44485,35,65792,NA,-1.9214611666854,-8.41028886141396,-8.03649432392941,14.6730032595257,NA,1.52597055187142,2.16927054063167,"Scottish National Party",30.92,17.22,10.77,39.57,NA,1.52,NA,NA,8.7,60.4,11738,6535,4090,15020,NA,577,NA,NA,37960,62860,48.2443342,51.7556658,"Hair, Kirstene","Woman","Campbell, William","Man","Sneddon, Clive","Man","Weir, Mike","Man",NA,NA,NA,NA,NA,NA,"Wann, Derek William","Man","White","McMahon, Gerard Francis","Man","White","Samani, Sanjay Ramniklal","Man","BME","Weir, Michael","Man","White",NA,NA,NA,"Walker, Calum David Alexander","Man","White","Mumford, David Christopher","Man","White"
16,"W07000057","Arfon","Wales","Wales","County","Plaid Cymru",16.3570618264322,40.5097844583097,2.29722064662507,NA,40.835933068633,NA,NA,NA,0.326148610323313,68.1896197452075,4614,11427,648,NA,11519,NA,NA,28208,67,41367,NA,3.23711548369644,10.2455969559808,-0.37819016680415,NA,-3.09595201539278,-8.48455490554086,NA,"Plaid Cymru",13.1199463427358,30.2641875023289,2.67541081342922,NA,43.9318850840258,8.48455490554086,NA,1.52401535193949,13.6676975816969,66.2772893411044,3521,8122,718,NA,11790,2277,NA,NA,26837,95,40492,NA,-3.81005365726423,-0.135812497671122,-11.3845891865708,NA,7.95188508402579,5.85455490554086,NA,"Plaid Cymru",16.93,30.4,14.06,NA,35.98,2.63,NA,NA,5.6,63.3,4416,7928,3666,NA,9383,685,NA,NA,26078,41198,35.84544298,64.15455702,"Parry, Phillippa","Woman","Griffiths Clarke, Mary","Woman","Davies, Calum","Man",NA,NA,"Williams, Hywel","Man",NA,NA,NA,NA,"Barry, Anwen","Woman","White","Pugh, Alun","Man","White","Shultan, Mohammed","Man","BME",NA,NA,NA,"Williams, Hywel","Man","White","Wall, Simon","Man","White",NA,NA,NA
17,"S14000005","Argyll and Bute","Scotland","Scotland","County","Scottish National Party",33.2355572198298,12.5735921279827,18.1925981401735,35.998252512014,NA,NA,NA,NA,2.76269529218415,71.4993306559572,15976,6044,8745,17304,NA,NA,NA,48069,69,67230,NA,18.3308678225321,2.17712314970464,-9.72791532281052,-8.25323641499487,NA,-2.52683923443132,NA,"Scottish National Party",14.9046893972978,10.396468978278,27.920513462984,44.2514889270089,NA,2.52683923443132,NA,NA,16.3309754640248,75.3292196007259,7733,5394,14486,22959,NA,1311,NA,NA,51883,59,68875,"Scottish National Party gain from Liberal Democrat",-9.12531060270224,-12.333531021722,-3.68948653701598,25.3114889270088,NA,2.52683923443132,NA,"Liberal Democrat",24.03,22.73,31.61,18.94,NA,NA,1.75,NA,7.6,67.3,10861,10274,14292,8563,NA,NA,789,NA,45207,67165,39.43239691,60.56760309,"Mulvaney, Gary","Man","Kelly, Michael","Man","Reid, Alan","Man","O'Hara, Brendan","Man",NA,NA,NA,NA,NA,NA,"Redman, Alastair","Man","White","Galbraith, Mary","Woman","White","Reid, Alan","Man","White","O'Hara, Brendan","Man","White",NA,NA,NA,"Santos, Caroline","Woman","White",NA,NA,NA
