Constituency,PANO,ONSConstID,Constituency,Region,Estimated declaration time,Day,Day/Time,CON,LAB,LIBDEM,GRN,SNP,PC,BXP,UKIP,OTHER,Registered Voters,Turnout
Houghton & Sunderland South,320,E14000754,Houghton & Sunderland South,North East,23:00,4-Thursday,4-Thursday 23:00,13095,16210,2319,1125,,,6165,897,0,68828,57.84%
Newcastle upon Tyne Central,414,E14000831,Newcastle upon Tyne Central,North East,23:00,4-Thursday,4-Thursday 23:00,9290,21568,2709,1365,,,2542,,0,57845,64.78%
Newcastle upon Tyne East,415,E14000832,Newcastle upon Tyne East,North East,00:00,5-Friday,5-Friday 00:00,10586,26049,4535,2195,,,,,0,63796,67.97%
Newcastle upon Tyne North,416,E14000833,Newcastle upon Tyne North,North East,00:00,5-Friday,5-Friday 00:00,15589,21354,4357,1368,,,4331,,0,68486,68.63%
Sunderland Central,551,E14000982,Sunderland Central,North East,00:00,5-Friday,5-Friday 00:00,15372,18336,3025,1212,,,5047,,484,72672,59.82%
Washington & Sunderland West,603,E14001020,Washington & Sunderland West,North East,00:00,5-Friday,5-Friday 00:00,12218,15941,2071,1005,,,5439,839,0,66273,56.60%
Halton,285,E14000725,Halton,North West,00:30,5-Friday,5-Friday 00:30,10358,29333,1800,982,,,3730,,0,71930,64.23%
Basildon & Billericay,32,E14000544,Basildon & Billericay,East,01:00,5-Friday,5-Friday 01:00,29590,9178,3741,1395,,,,,224,69906,63.12%
Broxbourne,106,E14000606,Broxbourne,East,01:00,5-Friday,5-Friday 01:00,30631,10824,3970,1281,,,,,0,73182,63.82%
Jarrow,337,E14000765,Jarrow,North East,01:00,5-Friday,5-Friday 01:00,11243,18363,2360,831,,,4122,,826,65103,57.98%
Makerfield,385,E14000805,Makerfield,North West,01:00,5-Friday,5-Friday 01:00,15214,19954,2108,1166,,,5817,,0,74190,59.66%
Middlesbrough,394,E14000819,Middlesbrough,North East,01:00,5-Friday,5-Friday 01:00,8812,17202,816,546,,,216,,4548,60759,52.90%
South Shields,522,E14000944,South Shields,North East,01:00,5-Friday,5-Friday 01:00,7688,17273,1514,1303,,,6446,,3658,62793,60.33%
Wigan,618,E14001039,Wigan,North West,01:00,5-Friday,5-Friday 01:00,14314,21042,2428,1299,,,5959,,0,75680,59.52%
Workington,636,E14001053,Workington,North West,01:00,5-Friday,5-Friday 01:00,20488,16312,1525,596,,,1749,,87,61370,66.41%
Down North,202,N06000013,Down North,Northern Ireland,01:00,5-Friday,5-Friday 01:00,1959,,,,,,,,38684,67099,60.57%
Rutherglen & Hamilton West,487,S14000056,Rutherglen & Hamilton West,Scotland,01:00,5-Friday,5-Friday 01:00,8054,18545,2791,,23775,,,629,0,80918,66.48%
Darlington,176,E14000658,Darlington,North East,01:30,5-Friday,5-Friday 01:30,20901,17607,2097,1057,,,1544,,292,66395,65.51%
Nuneaton,435,E14000868,Nuneaton,West Midlands,01:30,5-Friday,5-Friday 01:30,27390,14246,1862,1692,,,,,0,70226,64.35%
Kilmarnock & Loudoun,342,S14000040,Kilmarnock & Loudoun,Scotland,01:30,5-Friday,5-Friday 01:30,11557,9009,2444,,24216,,,,405,74517,63.92%
Swansea West,559,W07000047,Swansea West,Wales,01:30,5-Friday,5-Friday 01:30,10377,18493,2993,,,1984,1983,,0,57078,62.77%
Battersea,38,E14000549,Battersea,London,02:00,5-Friday,5-Friday 02:00,21622,27290,9150,1529,,,386,,0,79309,75.62%
Birkenhead,56,E14000559,Birkenhead,North West,02:00,5-Friday,5-Friday 02:00,5540,24990,1620,1405,,,1489,,7285,63762,66.39%
Blackburn,67,E14000570,Blackburn,North West,02:00,5-Friday,5-Friday 02:00,10736,29040,1130,741,,,2770,,319,71228,62.81%
Blaydon,72,E14000574,Blaydon,North East,02:00,5-Friday,5-Friday 02:00,14263,19794,3703,1279,,,5833,,809,67853,67.32%
Bootle,79,E14000581,Bootle,North West,02:00,5-Friday,5-Friday 02:00,4510,39066,1822,1166,,,2610,,0,74832,65.71%
Bracknell,84,E14000586,Bracknell,South East,02:00,5-Friday,5-Friday 02:00,31894,12065,7749,2089,,,,,553,79206,68.62%
Burnley,109,E14000609,Burnley,North West,02:00,5-Friday,5-Friday 02:00,15720,14368,3501,739,,,3362,,1294,64343,60.59%
Burton,110,E14000610,Burton,West Midlands,02:00,5-Friday,5-Friday 02:00,29560,15064,2681,1433,,,,,0,75030,64.96%
Bury North,111,E14000611,Bury North,North West,02:00,5-Friday,5-Friday 02:00,21660,21555,1584,802,,,1240,,0,68802,68.08%
Bury South,112,E14000612,Bury South,North West,02:00,5-Friday,5-Friday 02:00,22034,21632,2315,848,,,1672,,407,75152,65.08%
Cannock Chase,124,E14000618,Cannock Chase,West Midlands,02:00,5-Friday,5-Friday 02:00,31636,11757,,2920,,,,,0,74813,61.91%
Carlisle,130,E14000620,Carlisle,North West,02:00,5-Friday,5-Friday 02:00,23659,15340,2829,,,,,1045,0,65105,65.85%
Castle Point,134,E14000622,Castle Point,East,02:00,5-Friday,5-Friday 02:00,33971,7337,2969,,,,,,0,69643,63.58%
Surrey East,552,E14000681,Surrey East,South East,02:00,5-Friday,5-Friday 02:00,35624,8247,11584,2340,,,,,1895,83148,71.79%
Folkestone & Hythe,253,E14000704,Folkestone & Hythe,South East,02:00,5-Friday,5-Friday 02:00,35483,14146,5755,2706,,,,,915,88273,66.84%
Fylde,256,E14000706,Fylde,North West,02:00,5-Friday,5-Friday 02:00,28432,11821,3748,1731,,,,,927,66847,69.80%
Gateshead,259,E14000709,Gateshead,North East,02:00,5-Friday,5-Friday 02:00,13250,20450,2792,1653,,,,,0,64449,59.19%
Harlow,292,E14000729,Harlow,East,02:00,5-Friday,5-Friday 02:00,27510,13447,2397,,,,,,0,68078,63.68%
Hartlepool,296,E14000733,Hartlepool,North East,02:00,5-Friday,5-Friday 02:00,11869,15464,1696,,,,10603,,1405,70855,57.92%
Hertsmere,311,E14000745,Hertsmere,East,02:00,5-Friday,5-Friday 02:00,32651,11338,6561,1653,,,,,0,73971,70.57%
Huntingdon,326,E14000757,Huntingdon,East,02:00,5-Friday,5-Friday 02:00,32386,13003,9432,2233,,,,,304,84657,67.75%
Kettering,341,E14000769,Kettering,East Midlands,02:00,5-Friday,5-Friday 02:00,29787,13022,3367,1543,,,,,1642,73187,67.45%
Hull North,324,E14000772,Hull North,Yorkshire and The Humber,02:00,5-Friday,5-Friday 02:00,9440,17033,2084,875,,,4771,,0,65515,52.21%
Knowsley,346,E14000775,Knowsley,North West,02:00,5-Friday,5-Friday 02:00,4432,44374,1117,1262,,,3348,,405,84060,65.36%
Leigh,361,E14000785,Leigh,North West,02:00,5-Friday,5-Friday 02:00,21266,19301,2252,,,,3161,448,551,77417,60.68%
Swindon North,560,E14000851,Swindon North,South West,02:00,5-Friday,5-Friday 02:00,32584,16413,4408,1710,,,,,0,82441,66.85%
Tyneside North,583,E14000853,Tyneside North,North East,02:00,5-Friday,5-Friday 02:00,15490,25051,3241,1393,,,5254,,0,78902,63.91%
Warwickshire North,602,E14000854,Warwickshire North,West Midlands,02:00,5-Friday,5-Friday 02:00,30249,12293,2069,1303,,,,,0,70271,65.34%
Leicestershire North West,359,E14000858,Leicestershire North West,East Midlands,02:00,5-Friday,5-Friday 02:00,33811,13411,3614,2478,,,,,507,78935,68.18%
Putney,462,E14000887,Putney,London,02:00,5-Friday,5-Friday 02:00,18006,22780,8548,1133,,,,,0,65542,77.00%
Rugby,483,E14000905,Rugby,West Midlands,02:00,5-Friday,5-Friday 02:00,29225,15808,4207,1544,,,,,0,72340,70.20%
Runnymede & Weybridge,485,E14000907,Runnymede & Weybridge,South East,02:00,5-Friday,5-Friday 02:00,29262,10992,9236,1876,,,,476,670,77196,68.02%
Rushcliffe,486,E14000908,Rushcliffe,East Midlands,02:00,5-Friday,5-Friday 02:00,28765,21122,9600,,,,,591,427,77055,78.52%
Sefton Central,500,E14000916,Sefton Central,North West,02:00,5-Friday,5-Friday 02:00,14132,29254,3386,1261,,,2425,,422,69760,72.94%
Basildon South & Thurrock East,33,E14000933,Basildon South & Thurrock East,East,02:00,5-Friday,5-Friday 02:00,29973,10051,1957,,,,,,3316,74441,60.85%
Norfolk South,424,E14000941,Norfolk South,East,02:00,5-Friday,5-Friday 02:00,36258,14983,8744,2499,,,,,0,86214,72.48%
St Helens North,492,E14000962,St Helens North,North West,02:00,5-Friday,5-Friday 02:00,12661,24870,2668,1966,,,5396,,0,75593,62.92%
St Helens South & Whiston,493,E14000963,St Helens South & Whiston,North West,02:00,5-Friday,5-Friday 02:00,10335,29457,2886,2282,,,5353,,0,79058,63.64%
Stockton North,535,E14000970,Stockton North,North East,02:00,5-Friday,5-Friday 02:00,16701,17728,1631,,,,3907,,1189,66676,61.73%
Stockton South,536,E14000971,Stockton South,North East,02:00,5-Friday,5-Friday 02:00,27764,22504,2338,,,,2196,,0,76895,71.27%
Tamworth,562,E14000986,Tamworth,West Midlands,02:00,5-Friday,5-Friday 02:00,30542,10908,2426,935,,,,814,431,71580,64.34%
Thurrock,571,E14000995,Thurrock,East,02:00,5-Friday,5-Friday 02:00,27795,16313,1510,807,,,,,1042,79655,59.59%
Tooting,574,E14000998,Tooting,London,02:00,5-Friday,5-Friday 02:00,16504,30811,8305,2314,,,462,,77,76933,76.01%
Tynemouth,582,E14001006,Tynemouth,North East,02:00,5-Friday,5-Friday 02:00,22071,26928,3791,1281,,,1963,,0,77261,72.53%
Wallasey,592,E14001010,Wallasey,North West,02:00,5-Friday,5-Friday 02:00,11579,29901,1843,1132,,,2037,,0,66310,70.11%
Warley,598,E14001016,Warley,West Midlands,02:00,5-Friday,5-Friday 02:00,10390,21901,1588,891,,,2469,,0,62421,59.66%
Wellingborough,608,E14001025,Wellingborough,East Midlands,02:00,5-Friday,5-Friday 02:00,32277,13737,4078,1821,,,,,0,80764,64.28%
West Bromwich East,612,E14001029,West Bromwich East,West Midlands,02:00,5-Friday,5-Friday 02:00,16804,15211,1313,627,,,1475,,545,62111,57.92%
West Bromwich West,613,E14001030,West Bromwich West,West Midlands,02:00,5-Friday,5-Friday 02:00,17419,13620,915,664,,,1841,,0,64576,53.36%
