"","from","to","strength"
"1","prevJob","selfOccStatusLast",-473.668413802478
"2","polKnowMiliband","polKnowClegg",-305.959708034854
"3","socialDesScale","socialDes_4",-375.359241927941
"4","satDemUK","satDemEng",-624.662715905571
"5","econPersonalRetro","econGenRetro",-639.535227842267
"6","socialDesScale","socialDes_2",-390.653493392861
"7","certaintyUKLeave","certaintyUKRemain",-573.791133056435
"8","socialIdentityGlobalLeave","socialIdentityGlobalRemain",-595.612341916094
"9","socialDesScale","socialDes_3",-544.251867490384
"10","socialDesScale","socialDes_1",-372.69084189262
"11","polKnowMiliband","polKnowMay",-170.781653942306
"12","workingStatus","selfOccStatus",-483.945209905347
"13","selfOccStatus","prevJob",-108.081864716925
"14","franceFairShare","germanyFairShare",-463.536694901527
"15","likeCameron","likeCon",-411.621168384628
"16","polKnowMiliband","polKnowBercow",-332.046020596832
"17","certaintyEUCon","certaintyEULab",-166.126762769143
"18","euMore","noneuMore",-360.069437857902
"19","immigLab","immigLD",-175.754822554587
"20","infoSourceRadio","euSources_3",-350.403557286377
"21","certaintyEULD","certaintyEUGreen",-137.733016964918
"22","profile_gross_household","profile_gross_personal",-332.513119343867
"23","infoSourcePaper","euSources_2",-342.928431772331
"24","likeFarage","likeUKIP",-295.521358046149
"25","tolUncertain1","tolUncertain3",-310.895223933876
"26","certaintyEULab","certaintyEULD",-67.4444604831008
"27","tolUncertain3","tolUncertain2",-70.7622546082875
"28","immigLD","immigGreen",-91.1752656571546
"29","EUIntegrationUKIP","certaintyEUUKIP",-245.302864909732
"30","likeCameron","likeOsborne",-79.9738191604654
"31","campaigninfoLeave","campaigninfoRemain",-260.100333597365
"32","socialDes_3","socialDes_none",-80.2632495202944
"33","immigEcon","immigCultural",-169.343756113421
"34","infoSourceInternet","euSources_4",-255.955322924509
"35","studentsMore","familiesMore",-75.5486917423884
"36","polKnowClegg","polKnowOsborne",-19.4726317419058
"37","immigCon","immigLab",-201.133379583044
"38","al2","al_scale",-230.439632144894
"39","conUnited","labUnited",-249.479516367766
"40","schoolChildrenInHousehold","noDependentsInHousehold",-265.955268370934
"41","sickOrElderlyInHousehold","noDependentsInHousehold",-325.953051169461
"42","parliamentSupport","cabinetSupport",-44.1763221467655
"43","socialDes_dk","polKnowMiliband",-65.288183938047
"44","certaintyEUUKIP","certaintyEUCon",-158.030813556036
"45","al_scale","al1",-164.858383352569
"46","EUMIICategory","euMIISmall",-216.358769697662
"47","euMore","studentsMore",-38.64511699126
"48","personality_agreeableness","personality_conscientiousness",-190.170187150578
"49","EUIntegrationLD","EUIntegrationGreen",-89.1156737319511
"50","likeCorbyn","likeLab",-163.760293225402
"51","al_scale","al5",-44.1982654112156
"52","franceFairShare","britainFairShare",-21.5022656580572
"53","tolUncertain3","locus1",-47.9264244877947
"54","familiesMore","asylumMore",-38.3112331212139
"55","leaveImpactSelf","leaveImpactBritain",-147.957463639616
"56","ldSupport","parliamentSupport",-170.459046869252
"57","socialDes_3","socialDes_dk",-193.445000395565
"58","profile_household_size","profile_household_children",-161.021924788656
