# packages in environment at E:\Users\Gamer\anaconda3\envs\test_tensorflow_install:
#
# Name                    Version                   Build  Channel
_py-xgboost-mutex         2.0                       cpu_0    conda-forge
absl-py                   0.13.0                   pypi_0    pypi
amqp                      5.1.1                    pypi_0    pypi
annoy                     1.17.0                   pypi_0    pypi
anyio                     3.6.2              pyhd8ed1ab_0    conda-forge
argon2-cffi               21.3.0             pyhd8ed1ab_0    conda-forge
argon2-cffi-bindings      21.2.0           py37hcc03f2d_2    conda-forge
astunparse                1.6.3                    pypi_0    pypi
attrs                     23.1.0             pyh71513ae_1    conda-forge
babel                     2.12.1             pyhd8ed1ab_1    conda-forge
backcall                  0.2.0              pyh9f0ad1d_0    conda-forge
backports                 1.0                pyhd8ed1ab_3    conda-forge
backports.functools_lru_cache 1.6.4              pyhd8ed1ab_0    conda-forge
beautifulsoup4            4.12.2             pyha770c72_0    conda-forge
billiard                  3.6.4.0                  pypi_0    pypi
blas                      1.0                         mkl    anaconda
bleach                    6.0.0              pyhd8ed1ab_0    conda-forge
bokeh                     2.4.3              pyhd8ed1ab_3    conda-forge
boost-cpp                 1.78.0               h9f4b32c_3    conda-forge
branca                    0.6.0              pyhd8ed1ab_0    conda-forge
brotli                    1.0.9                hcfcfb64_8    conda-forge
brotli-bin                1.0.9                hcfcfb64_8    conda-forge
brotlipy                  0.7.0           py37hcc03f2d_1004    conda-forge
bzip2                     1.0.8                h8ffe710_4    conda-forge
ca-certificates           2023.5.7             h56e8100_0    conda-forge
cached-property           1.5.2                    pypi_0    pypi
cachetools                4.2.2                    pypi_0    pypi
cairo                     1.16.0            h63a05c6_1001    conda-forge
camelot-py                0.10.1             pyhd8ed1ab_0    conda-forge
cartopy                   0.18.0           py37hd77ba2b_0    anaconda
celery                    5.2.7                    pypi_0    pypi
certifi                   2023.5.7           pyhd8ed1ab_0    conda-forge
cffi                      1.15.1           py37ha95fbe2_1    conda-forge
cfitsio                   3.470                h2bbff1b_7    anaconda
cftime                    1.6.2            py37h0b711f8_0    conda-forge
chardet                   3.0.4           py37hf50a25e_1008    conda-forge
charset-normalizer        3.1.0              pyhd8ed1ab_0    conda-forge
click                     8.1.3            py37h03978a9_0    conda-forge
click-didyoumean          0.3.0                    pypi_0    pypi
click-plugins             1.1.1                      py_0    conda-forge
click-repl                0.2.0                    pypi_0    pypi
cligj                     0.7.2              pyhd8ed1ab_1    conda-forge
cloudpickle               2.2.1              pyhd8ed1ab_0    conda-forge
colorama                  0.4.6              pyhd8ed1ab_0    conda-forge
colorcet                  3.0.1              pyhd8ed1ab_0    conda-forge
configparser              3.5.3                    pypi_0    pypi
cryptography              36.0.2           py37h65266a2_0    conda-forge
cudatoolkit               11.8.0              h09e9e62_11    conda-forge
curl                      7.86.0               heaf79c2_1    conda-forge
cvxopt                    1.2.7            py37h625cc9e_1    conda-forge
cycler                    0.11.0             pyhd8ed1ab_0    conda-forge
dask-core                 2021.11.2          pyhd8ed1ab_0    conda-forge
dataclasses               0.8                pyhc8e2a94_3    conda-forge
datashader                0.14.4             pyh1a96a4e_0    conda-forge
datashape                 0.5.4                      py_1    conda-forge
debugpy                   1.5.1            py37hd77b12b_0    anaconda
decorator                 5.1.1              pyhd8ed1ab_0    conda-forge
defusedxml                0.7.1              pyhd8ed1ab_0    conda-forge
dsdp                      5.8               h6e01ec9_1203    conda-forge
eigen                     3.4.0                h2d74725_0    conda-forge
entrypoints               0.4                pyhd8ed1ab_0    conda-forge
et_xmlfile                1.1.0              pyhd8ed1ab_0    conda-forge
excalibur-py              0.4.3                    pypi_0    pypi
expat                     2.5.0                h63175ca_1    conda-forge
fftw                      3.3.10          nompi_h38027f0_107    conda-forge
fiona                     1.8.22           py37hac22706_0    anaconda
flask                     1.1.2                    pypi_0    pypi
flatbuffers               1.12                     pypi_0    pypi
flit-core                 3.9.0              pyhd8ed1ab_0    conda-forge
folium                    0.14.0             pyhd8ed1ab_0    conda-forge
font-ttf-dejavu-sans-mono 2.37                 hab24e00_0    conda-forge
font-ttf-inconsolata      3.000                h77eed37_0    conda-forge
font-ttf-source-code-pro  2.038                h77eed37_0    conda-forge
font-ttf-ubuntu           0.83                 hab24e00_0    conda-forge
fontconfig                2.14.2               hbde0cde_0    conda-forge
fonts-conda-ecosystem     1                             0    conda-forge
fonts-conda-forge         1                             0    conda-forge
fonttools                 4.25.0             pyhd3eb1b0_0    anaconda
freetype                  2.12.1               h546665d_1    conda-forge
freexl                    1.0.6                h67ca5e6_1    conda-forge
fsspec                    2022.11.0          pyhd8ed1ab_0    conda-forge
future                    0.18.2           py37h03978a9_5    conda-forge
gast                      0.4.0                    pypi_0    pypi
gdal                      3.0.2            py37hb978731_1  
geopandas                 0.10.2             pyhd8ed1ab_1    conda-forge
geopandas-base            0.10.2             pyha770c72_1    conda-forge
geos                      3.8.0                h33f27b4_0    anaconda
geotiff                   1.6.0                h5770a2b_0    anaconda
geoviews                  1.9.6              pyhd8ed1ab_0    conda-forge
geoviews-core             1.9.6              pyha770c72_0    conda-forge
gettext                   0.21.1               h5728263_0    conda-forge
ghostscript               0.7                      pypi_0    pypi
glib                      2.76.3               h12be248_0    conda-forge
glib-tools                2.76.3               h12be248_0    conda-forge
glpk                      4.65              h8ffe710_1004    conda-forge
google-auth               1.32.0                   pypi_0    pypi
google-auth-oauthlib      0.4.4                    pypi_0    pypi
google-pasta              0.2.0                    pypi_0    pypi
greenlet                  2.0.1                    pypi_0    pypi
grpcio                    1.34.1                   pypi_0    pypi
gsl                       2.7                  hdfb1a43_0    conda-forge
gst-plugins-base          1.18.5               h9e645db_0    anaconda
gstreamer                 1.18.5               hd78058f_0    anaconda
h5py                      3.1.0                    pypi_0    pypi
hartigan-kmeans           0.0.6                    pypi_0    pypi
hdf4                      4.2.13               h712560f_2    anaconda
hdf5                      1.10.6          nompi_h5268f04_1114    conda-forge
holoviews                 1.16.0             pyhd8ed1ab_0    conda-forge
html5lib                  1.1                pyh9f0ad1d_0    conda-forge
hyperopt                  0.2.7              pyhd8ed1ab_0    conda-forge
icu                       58.2             vc14hc45fdbb_0  [vc14]  anaconda
idna                      3.4                pyhd8ed1ab_0    conda-forge
importlib-metadata        4.11.3           py37h03978a9_0    conda-forge
importlib_metadata        4.11.3               hd8ed1ab_0    conda-forge
