"","from","to","strength"
"1","prevJob","selfOccStatusLast",-5039.55631759018
"2","polKnowMiliband","polKnowClegg",-5711.84976684832
"3","econPersonalRetro","econGenRetro",-7265.24980550972
"4","socialDesScale","socialDes_2",-4589.18233839245
"5","socialDesScale","socialDes_4",-3271.87252733917
"6","euRefTurnout","euRefCertainty",-6573.01090130998
"7","polKnowMiliband","polKnowMay",-503.011006314346
"8","satDemUK","satDemEng",-4591.25134801631
"9","socialDesScale","socialDes_3",-5014.99326872493
"10","socialDesScale","socialDes_1",-1925.5481172622
"11","polKnowMay","polKnowBercow",-685.915412353765
"12","workingStatus","selfOccStatus",-1190.55278266128
"13","workingStatus","prevJob",-4562.40207912382
"14","likeFarage","likeUKIP",-3012.9452029098
"15","likeCameron","likeCon",-3480.24891451516
"16","polKnowMiliband","polKnowOsborne",-238.011142071532
"17","certaintyEUCon","certaintyEULab",-1796.56340455008
"18","socialDes_3","socialDes_none",-1245.01148131925
"19","certaintyUKLeave","certaintyUKRemain",-2617.60697906375
"20","infoSourceRadio","euSources_3",-3148.59660193072
"21","profile_gross_household","profile_gross_personal",-2734.09817240617
"22","infoSourcePaper","euSources_2",-2739.66118398116
"23","likeCameron","likeOsborne",-742.684414833895
"24","immigLab","immigLD",-1191.32457172731
"25","franceFairShare","germanyFairShare",-2604.19715961497
"26","certaintyEULD","certaintyEUGreen",-761.343452686646
"27","tolUncertain1","tolUncertain3",-2657.04122924279
"28","socialDes_dk","polKnowMiliband",-549.467267652135
"29","socialDes_none","socialDes_dk",-365.972593855929
"30","certaintyEULab","certaintyEULD",-577.852056391848
"31","tolUncertain3","tolUncertain2",-834.718116443997
"32","likeCorbyn","likeLab",-1170.2560725393
"33","privateSecondarySchool","neverPrivateSchool",-3427.82782271614
"34","lr4","lr_scale",-718.556225978165
"35","infoSourceInternet","euSources_4",-2147.0925655724
"36","schoolChildrenInHousehold","noDependentsInHousehold",-3350.58751071453
"37","sickOrElderlyInHousehold","noDependentsInHousehold",-4826.28107837148
"38","immigLD","immigGreen",-544.265062210779
"39","al2","al_scale",-1939.50673982222
"40","EUIntegrationUKIP","certaintyEUUKIP",-1404.93912728187
"41","profile_household_children","schoolChildrenInHousehold",-1238.4257193854
"42","lr3","lr4",-1250.66424400951
"43","profile_household_size","profile_household_children",-1527.9342476691
"44","RPrivSchnew_dk","neverPrivateSchool",-2622.34107882565
"45","immigEcon","immigCultural",-862.800937400871
"46","euMore","noneuMore",-1821.40359352042
"47","pccTurnout","pccVote1",-1556.06589706115
"48","certaintyEUUKIP","certaintyEUCon",-867.200350176836
"49","preschoolChildrenInHousehold","noDependentsInHousehold",-1522.41994086862
"50","polKnowMiliband","ns_sec_analytic",-65.4449749141659
"51","al_scale","al1",-1088.28448596331
"52","tolUncertain2","locus2",-410.125395628907
"53","immigCon","immigLab",-1359.67448929832
"54","parliamentSupport","cabinetSupport",-651.942968454725
"55","al_scale","al5",-238.198079648853
"56","lr4","lr2",-135.108003680658
"57","polAttention","efficacyUnderstand",-521.981363205114
"58","ldUnited","grnUnited",-642.965307558041
"59","leaveImpactSelf","leaveImpactBritain",-1358.87073753788
"60","EUIntegrationLab","EUIntegrationLD",-867.54080472697
"61","tolUncertain3","locus1",-72.7948318528925
"62","EUIntegrationLD","EUIntegrationGreen",-611.268477843303
"63","al_scale","al3",-427.862383493974
"64","infoSourcePeople","euSources_5",-1141.21571549869
"65","education","profile_education_age",-724.016176017974
"66","lr_scale","lr5",-306.117306065875
"67","lr_scale","lr1",-96.6083074880517
"68","al4","al_scale",-1181.13342719748
"69","noneuMore","studentsMore",-388.859625295223
"70","studentsMore","familiesMore",-400.866728999075
"71","likeFarron","likeBennett",-1012.30697134875
"72","changeNHS","changeEducation",-542.296464610197
"73","polKnowMiliband","countryOfBirth",-35.037547827309
"74","prevJob","Age",-107.643454864083
"75","EUMIICategory","euMIISmall",-1003.35911790091
"76","asylumMore","immigSelf",-397.729068286621
"77","familiesMore","asylumMore",-336.037060773624
"78","likeUKIP","bestOnMII",-68.0889983614288
"79","blackEquality","gayEquality",-532.157557549002
"80","conUnited","labUnited",-1088.69341401207
"81","euRefCertainty","postalapply",-68.1263281893143
"82","generalElectionVote","profile_past_vote_2015",-336.287470367797
"83","localTurnoutRetro","pccTurnout",-1112.01367459593
"84","likeUKIP","generalElectionVote",-238.07374579817
"85","livedAbroad","languageSkills",-312.762680008128
"86","euRefInterest","polAttention",-1076.87253897587
"87","likeCon","changeEconomy",-93.9681546557331
"88","euSources_5","discussPolDays",-236.092096226814
"89","privatePrimarySchool","neverPrivateSchool",-1031.16733198199
"90","effectsEUTrade","euLeaveVoice",-405.907449399754
"91","UKsovereignty","euRedTape",-244.042948992557
"92","livedAbroad","parentsForeign",-294.568449266703
"93","changeEconomy","changeNHS",-401.900420169022
"94","likeBoris","likeGove",-242.848380011426
"95","likeFarage","likeBoris",-603.318475349108
"96","personality_openness","personality_agreeableness",-187.839757742022
"97","immigSelf","immigEcon",-179.048704389632
"98","labSupport","ldSupport",-542.723396296263
"99","conSupport","parliamentSupport",-319.396263508582
"100","infoSourceInternet","infoSourcePeople",-440.481768906377
"101","socialDes_none","socialDes_1",-774.766484472567
"102","certaintyEUGreen","immigGreen",-853.252466999871
"103","tuSupport","labSupport",-844.157736716881
"104","languageSkills","friendsEU",-120.574537826395
"105","effectsEUWorkers","effectsEUNHS",-362.324541849488
"106","effectsEUWorkers","effectsEUEcon",-660.557375278479
"107","likeFarron","likeAlanJohnson",-237.884883895604
"108","likeBennett","likeGrn",-484.674401058433
"109","effectsEUEcon","effectsEUFinance",-184.469537547782
"110","locus2","livedAbroad",-224.726785022163
"111","immigEcon","immigrantsWelfareState",-105.952126835451
"112","certaintyEUUKIP","ukipUnited",-83.6396316220525
"113","ukipUnited","ldUnited",-163.382744177217
"114","socialDes_none","socialDes_4",-1249.11686082418
"115","prevJob","selfOccStatus",-257.097866777733
"116","profile_education_age","edlevel",-310.23764251871
"117","UKsovereignty","euUndermineIdentity",-278.808080815779
"118","euUndermineIdentity","euParlOverRide",-156.596603967595
"119","socialDes_none","socialDes_2",-2707.61313415452
"120","franceFairShare","britainFairShare",-160.883134269852
"121","polAttention","infoSourceTV",-157.027381114307
"122","likeCon","likeBoris",-177.36285572311
"123","likeGrn","likeLD",-258.102741157552
"124","EUIntegrationCon","conSupport",-322.235357071108
"125","prefTradeoff","beliefTradeoff",-463.602529281037
"126","likeCameron","efficacyPolCare",-62.4488023715858
"127","parliamentSupport","businessSupport",-55.8657142755455
"128","privatePrimarySchool","privateSecondarySchool",-640.783985080808
"129","effectsEUEcon","effectsEUTrade",-177.264411223392
"130","housing","Age",-369.349899631652
"131","likeCon","lr3",-124.983561613672
"132","leaveTone","proConLeave",-235.4614719398
"133","likeCon","EUIntegrationCon",-86.9127121416022
"134","EUIntegrationLab","EUIntegrationCon",-702.762344106635
"135","polKnowMiliband","polKnowBercow",-239.792965029234
"136","labUnited","ukipUnited",-250.445484731614
"137","euSources_2","profile_newspaper_readership_201",-211.135250278367
"138","ukipUnited","likeFarage",-198.449490295687
"139","likeBennett","likeCorbyn",-167.713791113649
"140","socialDes_1","socialDes_2",-1854.75374135395
"141","socialDes_4","socialDes_2",-1661.03694775657
"142","socialDes_3","socialDes_2",-913.655875943775
"143","euUKRich","euCloser",-277.742980908648
"144","immigrantsWelfareState","immigContributeTake",-129.972549820675
"145","likeUKIP","partyIdEU",-222.08612500297
"146","changeImmig","changeCrime",-442.370915375132
"147","socialDes_1","socialDes_4",-676.209257962522
"148","likeCon","partyId",-211.437322767775
"149","euLawsLevel","echr",-219.094137097401
"150","euCloser","euPreventWar",-192.126996737024
"151","likeAlanJohnson","likeGove",-166.625253522205
"152","likeCameron","satDemUK",-36.7832899052028
"153","labSupport","conSupport",-382.206843989559
"154","ldSupport","parliamentSupport",-201.939485420108
"155","euUndermineIdentity","EUIntegrationSelf",-55.044186444251
"156","socialDes_3","polKnowMiliband",-104.817365963052
"157","euKnow6","euKnow2",-176.457940390188
"158","profile_past_vote_2005","profile_past_vote_2010",-345.749023873443
"159","lr5","lr2",-237.850337793414
"160","efficacyEU","certaintyUKLeave",-112.017246775415
"161","socialDes_3","socialDes_dk",-205.683295245211
"162","polKnowMiliband","profile_religion_denom",-36.4835156952577
"163","likeCon","generalElectionVote",-69.4735025738592
"164","locus2","partyMember",-26.0462347294133
"165","euKnow6","euKnow1",-193.891178923948
"166","polAttention","discussPolDays",-141.702127762263
"167","lr3","lr_scale",-376.698206106488
"168","likeCon","likeCorbyn",-155.116979631017
"169","bestPM","likeCorbyn",-408.70572345029
"170","polAttention","immigLab",-122.179635809891
"171","likeLab","EUIntegrationLab",-101.386035688709
"172","likeFarron","likeLD",-303.608910133122
"173","marital","housing",-354.089312193719
"174","changeCrime","changeCostLive",-176.000195829503
"175","ldUnited","immigLD",-200.863568653996
"176","infoSourceTV","infoSourceInternet",-181.919733489462
"177","polAttention","euKnow6",-26.0471464454131
"178","Age","profile_household_size",-502.670126381452
"179","marital","profile_household_size",-704.487405459513
"180","ukCoopWorkers","ukCoopCAP",-145.268274892509
"181","infoSourceTV","infoSourceRadio",-95.2505732410227
"182","profile_household_children","preschoolChildrenInHousehold",-239.538325818501
"183","effectsEUImmigration","effectsEUTerror",-219.071556348901
"184","likeCameron","conUnited",-441.353696112421
"185","generalElectionVote","bestOnMII",-243.839514512798
"186","certaintyEUUKIP","certaintyEULab",-184.764813767219
"187","tolUncertain3","parentsForeign",-32.8562268372234
"188","parentsForeign","languageSkills",-190.529041332598
"189","personality_openness","personality_conscientiousness",-711.108865597922
"190","euKnow1","euKnow5",-97.6307955618877
"191","euMore","familiesMore",-145.591397224822
"192","ukCoopMovement","euMore",-269.077341688182
"193","lr3","lr1",-145.298524193429
"194","immigCultural","benefitsToMigrants",-7.32316454345528
"195","selfOccStatus","profile_gross_household",-302.303048856847
"196","euLeaveBigBusiness","euLeaveScotIndep",-184.86243083445
"197","immigGreen","grnUnited",-210.403294400001
"198","likeUKIP","socialIdentityGlobalLeave",-80.6726316051572
"199","socialIdentityGlobalRemain","socialIdentityGlobalLeave",-390.577475307677
"200","immigLD","franceFairShare",-48.2320541448917
"201","ukCoopEuro","UKsovereignty",-105.995997552329
"202","personality_conscientiousness","socialDesScale",-69.0517655720159
"203","euKnow2","euKnow3",-126.009109743687
"204","profile_turnout_2015","profile_past_vote_2015",-430.404024574376
"205","ldUnited","likeFarron",-195.229992019515
"206","labUnited","ldUnited",-226.185778157922
"207","ukCoopWorkers","ukCoopMovement",-106.088297277953
"208","likeCon","monarch",-5.52463056401029
"209","ldSupport","EUIntegrationLD",-256.908285030902
"210","effectsEUEcon","effectsEUNHS",-228.773644867944
"211","Age","profile_education_age",-240.603562511065
"212","ukCoopTrade","ukCoopWorkers",-196.821396143274
"213","asylumMore","al2",-40.0313573289313
"214","polAttention","likeGove",-26.7199423869642
"215","tolUncertain1","locus1",-145.909095610317
"216","immigCultural","europeanness",-17.6605103511429
"217","euMore","immigEcon",-24.0526662192624
"218","tolUncertain3","locus2",-216.956830283027
"219","euSources_1","euSources_5",-165.931149897994
"220","euDominance","EUMIICategory",-321.910072727405
"221","euCloser","euLawsLevel",-49.2130379777518
"222","likeCon","lr4",-94.0989981756702
"223","effectsEUEcon","euLeaveVoice",-83.9889435137466
"224","labSupport","EUIntegrationLab",-227.566608284455
"225","benefitsToMigrants","childBenefitsRepatriate",-119.422320067366
"226","tolUncertain1","tolUncertain2",-292.922726253035
"227","euKnow1","euKnow4",-106.123725998952
"228","generalElectionVote","partyId",-126.242442999566
"229","infoSourceTV","infoSourcePeople",-145.398256956179
"230","englishness","countryOfBirth",-232.005744676217
"231","immigrantsWelfareState","changeImmig",-32.9367838187536
"232","ukCoopMovement","ukCoopEuro",-96.8681665597996
"233","immigLab","certaintyEUUKIP",-151.968587357516
"234","euUKRich","euPreventWar",-163.655713837885
"235","likeCameron","bestPM",-327.337653418824
"236","locus2","friendsEU",-59.2392511534881
"237","profile_past_vote_2015","profile_past_vote_2010",-120.601684537654
"238","euSources_5","euSources_4",-163.582424307762
"239","infoSourcePeople","euSources_4",-165.932705353214
"240","immigCultural","blackEquality",-27.7116681528805
"241","euMore","studentsMore",-254.431194870416
"242","euMore","immigSelf",-43.099376555514
"243","euMore","asylumMore",-81.8357143504563
"244","efficacyEU","campaigninfoLeave",-87.2366680812393
"245","conSupport","cabinetSupport",-119.10815397638
"246","immigEcon","euUKRich",-48.9739477948242
"247","likeGrn","grnUnited",-137.558338952818
"248","privatePrimarySchool","RPrivSchnew_dk",-147.770880066813
"249","certaintyEULab","certaintyUKLeave",-14.9640842267963
"250","immigCon","immigUKIP",-177.028777418092
"251","locus1","econPersonalRetro",-51.4230353274088
"252","UKsovereignty","euParlOverRide",-118.050879279945
"253","certaintyEULD","EUIntegrationCon",-18.1043472800338
"254","immigSelf","immigCultural",-67.7960199194276
"255","socialDes_3","socialDes_4",-268.710612289152
"256","euParlOverRide","euLawsLevel",-59.4872647405991
"257","tuSupport","businessSupport",-201.884766516891
"258","Age","infoSourceInternet",-219.276221544884
"259","immigSelf","immigUKIP",-113.434503128605
"260","euRefTurnout","euDominance",-34.40272821289
"261","immigrantsWelfareState","euUndermineIdentity",-26.4760649666696
"262","franceFairShare","ukCoopCAP",-40.0209024925152
"263","immigLab","certaintyEULab",-181.380804633365
"264","immigCultural","euCloser",-36.6836707245639
"265","immigLab","conSupport",-62.3709608664076
"266","euRefInterest","efficacyEU",-166.579798830384
"267","likeGrn","EUIntegrationGreen",-177.887507239502
"268","certaintyEUGreen","EUIntegrationGreen",-140.466219469647
"269","UKsovereignty","euMemberJoin",-112.851552316044
"270","likeCon","likeGove",-202.090905534671
"271","polAttention","infoSourcePaper",-245.459561092799
"272","euSources_1","euSources_2",-374.274012432287
"273","infoSourceTV","euSources_2",-254.802763678247
"274","immigCultural","likeFarage",-25.7711994989149
"275","immigEcon","socialIdentityGlobalRemain",-22.9065535667323
"276","ldUnited","ldSupport",-40.0971071012382
"277","al1","al3",-151.745236303264
"278","socialIdentityGlobalRemain","normEU",-101.748278865993
"279","polAttention","likeAlanJohnson",-66.9116685713016
"280","efficacyEU","effectsEUTrade",-13.4132262166804
"281","satDemUK","regSatisfaction",-3.54225186146869
"282","efficacyEU","leaveTone",-9.8599338933509
"283","conSupport","businessSupport",-94.5540563291052
"284","gender","al4",-155.465192921714
"285","lr4","efficacyPolCare",-27.3387971843003
"286","languageSkills","partyMember",-31.0447136113398
"287","changeEconomy","changeCostLive",-97.7160382227285
"288","EUIntegrationSelf","europeanness",-57.4870497568754
"289","euUKRich","britainFairShare",-31.8482999573134
"290","effectsEUTrade","UKsovereignty",-38.212997209579
"291","lr3","lr2",-124.753364917044
"292","immigCon","certaintyEUCon",-151.262655783023
"293","UKsovereignty","EUIntegrationSelf",-45.0794501226701
"294","polKnowClegg","polKnowMay",-188.840819698335
"295","certaintyUKLeave","effectsEUEcon",-65.6025371792857
"296","effectsEUWorkers","effectsEUFinance",-109.395031460941
"297","polKnowMiliband","Age",-48.1488000435347
"298","infoSourcePeople","discussPolDays",-160.032964186397
"299","profile_religion","profile_religion_denom",-171.162948028137
"300","EUIntegrationSelf","euRefCertainty",-82.8943254568003
"301","profile_ethnicity","parentsForeign",-152.770715498583
"302","likeLab","likeLD",-294.443131644319
"303","likeCameron","likeLD",-16.345008570539
"304","campaigninfoLeave","socialIdentityGlobalLeave",-30.6954888747168
"305","likeCon","lr_scale",-39.9109656690525
"306","lr3","lr5",-59.7349027960718
"307","blackEquality","femaleEquality",-533.610067261228
"308","changeEconomy","changeEducation",-99.2161016367209
"309","certaintyEULD","euKnow6",-5.95359297185678
"310","Age","franceFairShare",-73.8778352268928
"311","likeCameron","changeNHS",-1.60567617222478
"312","immigSelf","turkey",-3.99974192588707
"313","infoSourcePaper","infoSourceInternet",-81.3015444840476
"314","euUKRich","euLeaveBigBusiness",-31.2024173356331
"315","profile_gross_household","education",-2.93045640326818
"316","infoSourcePeople","infoSourceRadio",-67.623414564232
"317","changeEconomy","changeCrime",-23.7097785543683
"318","likeGove","likeOsborne",-137.588560553439
"319","monarch","britishness",-77.6676455970828
"320","campaigninfoRemain","campaigninfoLeave",-220.784938209008
